"month","site","rep.net","count"
"Jan","XS",1,0
"Jan","XS",2,0
"Jan","XS",3,0
"Jan","XS",4,0
"Jan","XS",5,0
"Feb","XS",1,0
"Feb","XS",2,0
"Feb","XS",3,0
"Feb","XS",4,0
"Feb","XS",5,0
"Mar","XS",1,0
"Mar","XS",2,0
"Mar","XS",3,0
"Mar","XS",4,0
"Mar","XS",5,0
"Apr","XS",1,0
"Apr","XS",2,0
"Apr","XS",3,0
"Apr","XS",4,0
"Apr","XS",5,0
"May","XS",1,0
"May","XS",2,0
"May","XS",3,0
"May","XS",4,0
"May","XS",5,0
"Jun","XS",1,0
"Jun","XS",2,0
"Jun","XS",3,0
"Jun","XS",4,0
"Jun","XS",5,0
"Jul","XS",1,0
"Jul","XS",2,0
"Jul","XS",3,0
"Jul","XS",4,0
"Jul","XS",5,0
"Aug","XS",1,0
"Aug","XS",2,0
"Aug","XS",3,0
"Aug","XS",4,0
"Aug","XS",5,0
"Sep","XS",1,0
"Sep","XS",2,0
"Sep","XS",3,0
"Sep","XS",4,0
"Sep","XS",5,0
"Oct","XS",1,0
"Oct","XS",2,0
"Oct","XS",3,0
"Oct","XS",4,0
"Oct","XS",5,0
"Nov","XS",1,0
"Nov","XS",2,0
"Nov","XS",3,0
"Nov","XS",4,0
"Nov","XS",5,0
"Dec","XS",1,0
"Dec","XS",2,0
"Dec","XS",3,0
"Dec","XS",4,0
"Dec","XS",5,0
"Jan","S",1,0
"Jan","S",2,0
"Jan","S",3,0
"Jan","S",4,0
"Jan","S",5,0
"Feb","S",1,3
"Feb","S",2,0
"Feb","S",3,2
"Feb","S",4,0
"Feb","S",5,0
"Mar","S",1,18
"Mar","S",2,16
"Mar","S",3,12
"Mar","S",4,11
"Mar","S",5,18
"Apr","S",1,2
"Apr","S",2,3
"Apr","S",3,4
"Apr","S",4,2
"Apr","S",5,0
"May","S",1,2
"May","S",2,1
"May","S",3,3
"May","S",4,0
"May","S",5,0
"Jun","S",1,1
"Jun","S",2,0
"Jun","S",3,1
"Jun","S",4,3
"Jun","S",5,2
"Jul","S",1,0
"Jul","S",2,0
"Jul","S",3,0
"Jul","S",4,0
"Jul","S",5,0
"Aug","S",1,0
"Aug","S",2,0
"Aug","S",3,0
"Aug","S",4,0
"Aug","S",5,0
"Sep","S",1,0
"Sep","S",2,0
"Sep","S",3,0
"Sep","S",4,0
"Sep","S",5,0
"Oct","S",1,0
"Oct","S",2,0
"Oct","S",3,0
"Oct","S",4,0
"Oct","S",5,0
"Nov","S",1,0
"Nov","S",2,0
"Nov","S",3,0
"Nov","S",4,0
"Nov","S",5,0
"Dec","S",1,0
"Dec","S",2,0
"Dec","S",3,0
"Dec","S",4,0
"Dec","S",5,0
"Jan","M",1,0
"Jan","M",2,0
"Jan","M",3,0
"Jan","M",4,0
"Jan","M",5,0
"Feb","M",1,7
"Feb","M",2,5
"Feb","M",3,10
"Feb","M",4,3
"Feb","M",5,4
"Mar","M",1,99
"Mar","M",2,84
"Mar","M",3,113
"Mar","M",4,86
"Mar","M",5,108
"Apr","M",1,26
"Apr","M",2,25
"Apr","M",3,22
"Apr","M",4,24
"Apr","M",5,30
"May","M",1,19
"May","M",2,17
"May","M",3,23
"May","M",4,23
"May","M",5,23
"Jun","M",1,3
"Jun","M",2,3
"Jun","M",3,4
"Jun","M",4,3
"Jun","M",5,4
"Jul","M",1,0
"Jul","M",2,0
"Jul","M",3,0
"Jul","M",4,0
"Jul","M",5,0
"Aug","M",1,0
"Aug","M",2,0
"Aug","M",3,0
"Aug","M",4,0
"Aug","M",5,0
"Sep","M",1,0
"Sep","M",2,0
"Sep","M",3,0
"Sep","M",4,0
"Sep","M",5,0
"Oct","M",1,0
"Oct","M",2,0
"Oct","M",3,0
"Oct","M",4,0
"Oct","M",5,0
"Nov","M",1,0
"Nov","M",2,0
"Nov","M",3,0
"Nov","M",4,0
"Nov","M",5,0
"Dec","M",1,0
"Dec","M",2,0
"Dec","M",3,0
"Dec","M",4,0
"Dec","M",5,0
"Jan","L",1,0
"Jan","L",2,0
"Jan","L",3,0
"Jan","L",4,0
"Jan","L",5,0
"Feb","L",1,75
"Feb","L",2,80
"Feb","L",3,90
"Feb","L",4,77
"Feb","L",5,77
"Mar","L",1,1030
"Mar","L",2,1006
"Mar","L",3,969
"Mar","L",4,1077
"Mar","L",5,1055
"Apr","L",1,561
"Apr","L",2,557
"Apr","L",3,560
"Apr","L",4,575
"Apr","L",5,577
"May","L",1,206
"May","L",2,234
"May","L",3,221
"May","L",4,224
"May","L",5,203
"Jun","L",1,60
"Jun","L",2,68
"Jun","L",3,72
"Jun","L",4,59
"Jun","L",5,50
"Jul","L",1,0
"Jul","L",2,0
"Jul","L",3,0
"Jul","L",4,0
"Jul","L",5,0
"Aug","L",1,0
"Aug","L",2,0
"Aug","L",3,0
"Aug","L",4,0
"Aug","L",5,0
"Sep","L",1,0
"Sep","L",2,0
"Sep","L",3,0
"Sep","L",4,0
"Sep","L",5,0
"Oct","L",1,0
"Oct","L",2,0
"Oct","L",3,0
"Oct","L",4,0
"Oct","L",5,0
"Nov","L",1,0
"Nov","L",2,0
"Nov","L",3,0
"Nov","L",4,0
"Nov","L",5,0
"Dec","L",1,0
"Dec","L",2,0
"Dec","L",3,0
"Dec","L",4,0
"Dec","L",5,0
"Jan","XL",1,0
"Jan","XL",2,0
"Jan","XL",3,0
"Jan","XL",4,0
"Jan","XL",5,0
"Feb","XL",1,1212
"Feb","XL",2,1228
"Feb","XL",3,1217
"Feb","XL",4,1268
"Feb","XL",5,1225
"Mar","XL",1,9533
"Mar","XL",2,9403
"Mar","XL",3,9370
"Mar","XL",4,9344
"Mar","XL",5,9516
"Apr","XL",1,2953
"Apr","XL",2,3034
"Apr","XL",3,2944
"Apr","XL",4,2931
"Apr","XL",5,3092
"May","XL",1,2779
"May","XL",2,2809
"May","XL",3,2751
"May","XL",4,2754
"May","XL",5,2648
"Jun","XL",1,629
"Jun","XL",2,647
"Jun","XL",3,625
"Jun","XL",4,677
"Jun","XL",5,608
"Jul","XL",1,0
"Jul","XL",2,0
"Jul","XL",3,0
"Jul","XL",4,0
"Jul","XL",5,0
"Aug","XL",1,0
"Aug","XL",2,0
"Aug","XL",3,0
"Aug","XL",4,0
"Aug","XL",5,0
"Sep","XL",1,0
"Sep","XL",2,0
"Sep","XL",3,0
"Sep","XL",4,0
"Sep","XL",5,0
"Oct","XL",1,0
"Oct","XL",2,0
"Oct","XL",3,0
"Oct","XL",4,0
"Oct","XL",5,0
"Nov","XL",1,0
"Nov","XL",2,0
"Nov","XL",3,0
"Nov","XL",4,0
"Nov","XL",5,0
"Dec","XL",1,0
"Dec","XL",2,0
"Dec","XL",3,0
"Dec","XL",4,0
"Dec","XL",5,0
