"","season","site","species","count"
"1","Summer","Strawberry Point North","Oncorhynchus tshawytscha",5
"2","Summer","Strawberry Point North","Oncorhynchus nerka",3
"3","Summer","Strawberry Point North","Oncorhynchus kisutch",1
"4","Summer","Strawberry Point North","Oncorhynchus gorbuscha",3
"5","Summer","Strawberry Point North","Ammodytes hexapterus",1
"6","Summer","Strawberry Point North","Clupea pallasii",3
"7","Summer","Strawberry Point North","Engraulis mordax",1
"8","Summer","Strawberry Point North","Cymatogaster aggregata",3
"9","Summer","Strawberry Point North","Gasterosteus aculeatus",2
"10","Summer","Strawberry Point North","Hypomesus pretiosus",1
"11","Summer","Strawberry Point North","Mallotus villosus",1
"12","Summer","Strawberry Point North","Oncorhynchus tshawytscha",2
"13","Summer","Strawberry Point North","Oncorhynchus nerka",4
"14","Summer","Strawberry Point North","Oncorhynchus kisutch",2
"15","Summer","Strawberry Point North","Oncorhynchus gorbuscha",0
"16","Summer","Strawberry Point North","Ammodytes hexapterus",3
"17","Summer","Strawberry Point North","Clupea pallasii",9
"18","Summer","Strawberry Point North","Engraulis mordax",1
"19","Summer","Strawberry Point North","Cymatogaster aggregata",3
"20","Summer","Strawberry Point North","Gasterosteus aculeatus",1
"21","Summer","Strawberry Point North","Hypomesus pretiosus",6
"22","Summer","Strawberry Point North","Mallotus villosus",6
"23","Summer","Strawberry Point North","Oncorhynchus tshawytscha",1
"24","Summer","Strawberry Point North","Oncorhynchus nerka",7
"25","Summer","Strawberry Point North","Oncorhynchus kisutch",9
"26","Summer","Strawberry Point North","Oncorhynchus gorbuscha",15
"27","Summer","Strawberry Point North","Ammodytes hexapterus",26
"28","Summer","Strawberry Point North","Clupea pallasii",2
"29","Summer","Strawberry Point North","Engraulis mordax",0
"30","Summer","Strawberry Point North","Cymatogaster aggregata",14
"31","Summer","Strawberry Point North","Gasterosteus aculeatus",2
"32","Summer","Strawberry Point North","Hypomesus pretiosus",5
"33","Summer","Strawberry Point North","Mallotus villosus",3
"34","Summer","Brown Point","Oncorhynchus tshawytscha",8
"35","Summer","Brown Point","Oncorhynchus nerka",2
"36","Summer","Brown Point","Oncorhynchus kisutch",12
"37","Summer","Brown Point","Oncorhynchus gorbuscha",12
"38","Summer","Brown Point","Ammodytes hexapterus",8
"39","Summer","Brown Point","Clupea pallasii",1
"40","Summer","Brown Point","Engraulis mordax",5
"41","Summer","Brown Point","Cymatogaster aggregata",7
"42","Summer","Brown Point","Gasterosteus aculeatus",7
"43","Summer","Brown Point","Hypomesus pretiosus",1
"44","Summer","Brown Point","Mallotus villosus",3
"45","Summer","Brown Point","Oncorhynchus tshawytscha",2
"46","Summer","Brown Point","Oncorhynchus nerka",9
"47","Summer","Brown Point","Oncorhynchus kisutch",5
"48","Summer","Brown Point","Oncorhynchus gorbuscha",9
"49","Summer","Brown Point","Ammodytes hexapterus",12
"50","Summer","Brown Point","Clupea pallasii",4
"51","Summer","Brown Point","Engraulis mordax",0
"52","Summer","Brown Point","Cymatogaster aggregata",4
"53","Summer","Brown Point","Gasterosteus aculeatus",0
