abbr,side,meaning,modifies
a,suffix,adult,life-history-stage
pl,suffix,post-larval,life-history-stage
u,suffix,unknown,unknown
O.U.,prefix,unknown,unknown
unk,suffix,unknown,unknown
u.size,suffix,unknown,unknown
small,suffix,unknown,unknown
legal,suffix,unknown,unknown
j,suffix,juvenile,life-history-stage
0,suffix,unknown,unknown
1,suffix,unknown,unknown
adult,suffix,adult,life-history-stage
ADULT,suffix,adult,life-history-stage
0,suffix,year-0,life-history-stage
1,suffix,year-1,life-history-stage
ucwt,suffix,unknown,hatchery-origin
em,suffix,external-mark,hatchery-origin
nem,suffix,no-external-mark,hatchery-origin
LARVAL,prefix,larval,life-history-stage
