"","lab_label","date","site_name","processed"
"1","x.001","2016-05-31","Strawberry Point North",1
"2","x.002","2016-05-31","Strawberry Point North",1
"3","x.003","2016-05-31","Strawberry Point North",1
"4","x.004","2016-05-31","Strawberry Point North",1
"5","x.005","2016-05-31","Strawberry Point North",1
"6","x.006","2016-05-31","Strawberry Point North",1
"7","x.007","2016-05-31","Brown Point",1
"8","x.008","2016-05-31","Brown Point",1
"9","x.009","2016-05-31","Brown Point",1
"10","x.010","2016-05-31","Brown Point",1
"11","x.011","2016-05-31","Brown Point",1
"12","x.012","2016-05-31","Brown Point",1
"13","x.013","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"14","x.014","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"15","x.015","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"16","x.016","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"17","x.017","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"18","x.018","2016-05-31","Random 1 2016-05-31 Utsalady Point",1
"19","x.019","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"20","x.020","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"21","x.021","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"22","x.022","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"23","x.023","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"24","x.024","2016-05-31","Random 2 2016-05-31 Maple Grove",1
"25","x.025","2016-05-31","Mariners Bluff",1
"26","x.026","2016-05-31","Mariners Bluff",1
"27","x.027","2016-05-31","Mariners Bluff",1
"28","x.028","2016-05-31","Mariners Bluff",1
"29","x.029","2016-05-31","Mariners Bluff",1
"30","x.030","2016-05-31","Mariners Bluff",1
"31","x.031","2016-05-31",NA,1
"32","x.032","2016-06-07","Browns Slough Out Side",1
"33","x.033","2016-06-07","Browns Slough Out Side",1
"34","x.034","2016-06-07","Browns Slough Out Side",1
"35","x.035","2016-06-07","Browns Slough Out Side",0
"36","x.036","2016-06-07","Browns Slough Out Side",0
"37","x.037","2016-06-07","Browns Slough Out Side",1
"38","x.039","2016-06-07","Browns Slough Diked Side",1
"39","x.040","2016-06-07","Browns Slough Diked Side",1
"40","x.041","2016-06-07","Browns Slough Diked Side",0
"41","x.042","2016-06-07","Browns Slough Diked Side",0
"42","x.043","2016-06-07","Browns Slough Diked Side",1
"43","x.044","2016-06-07","Browns Slough Diked Side",1
"44","x.045","2016-06-07","Browns Slough Out Side",1
"45","x.046","2016-06-07","Browns Slough Out Side",1
"46","x.047","2016-06-07","Browns Slough Out Side",0
"47","x.048","2016-06-07","Browns Slough Out Side",0
"48","x.049","2016-06-07","Browns Slough Out Side",1
"49","x.050","2016-06-07","Browns Slough Out Side",1
"50","x.051","2016-06-07","Browns Slough Diked Side",1
"51","x.053","2016-06-07","Browns Slough Diked Side",1
"52","x.052","2016-06-07","Browns Slough Diked Side",0
"53","x.054","2016-06-07","Browns Slough Diked Side",0
"54","x.055","2016-06-07","Browns Slough Diked Side",0
"55","x.056","2016-06-07","Browns Slough Diked Side",1
"56","x.038","2016-06-07",NA,1
"57","x.057","2016-06-08","Ika Upper",1
"58","x.058","2016-06-08","Ika Upper",1
"59","x.059","2016-06-08","Ika Upper",0
"60","x.060","2016-06-08","Ika Upper",0
"61","x.061","2016-06-08","Ika Upper",0
"62","x.062","2016-06-08","Ika Upper",1
"63","x.063","2016-06-08","Ika Lower",1
"64","x.064","2016-06-08","Ika Lower",1
"65","x.065","2016-06-08","Ika Lower",0
"66","x.067","2016-06-08","Ika Lower",0
"67","x.068","2016-06-08","Ika Lower",0
"68","x.069","2016-06-08","Ika Lower",1
"69","x.070","2016-06-08","Cattail",1
"70","x.071","2016-06-08","Cattail",1
"71","x.072","2016-06-08","Cattail",0
"72","x.073","2016-06-08","Cattail",0
"73","x.074","2016-06-08","Cattail",0
"74","x.075","2016-06-08","Cattail",1
"75","x.076","2016-06-08","Grain of Sand",1
"76","x.077","2016-06-08","Grain of Sand",1
"77","x.078","2016-06-08","Grain of Sand",1
"78","x.079","2016-06-08","Grain of Sand",1
"79","x.081","2016-06-08","Grain of Sand",1
"80","x.080","2016-06-08","Grain of Sand",1
"81","x.066","2016-06-08",NA,1
"82","x.083","2016-06-13","Lone Tree Point",1
"83","x.082","2016-06-13","Lone Tree Point",1
"84","x.084","2016-06-13","Lone Tree Point",1
"85","x.085","2016-06-13","Lone Tree Point",1
