SDS 2.3	Absolute QuantificationResults	1.0
Filename	CKCO3-161209
PlateID	
Assay Type	Absolute Quantification
Run DateTime	12/9/16 7:24:21 PM
Operator	
ThermalCycleParams	

Sample Information

Position	Flag	Sample	Detector	Task	Ct	Ct Median	Quantity	Qty mean	Qty stddev	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
A1	Passed	A1	jimmy161209	Standard	13.498494		1.0															
A2	Flagged	A2	jimmy161209	Unknown	3.0493124		673.45056						true		true							
A3	Passed	A3	jimmy161209	Standard	14.3122		1.0															
A4	Flagged	A4	jimmy161209	Unknown	6.0		120.11605						true		true							
A5	Passed	A5	jimmy161209	Standard	14.193877		1.0															
A6	Flagged	A6	jimmy161209	Unknown	29.169989		1.5866109E-4						true		true							
A7	Flagged	A7	jimmy161209	Unknown	Undetermined		0.0								true			true				
A8	Flagged	A8	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
A9	Passed	A9	jimmy161209	Unknown	35.22492		4.6142245E-6															
A10	Flagged	A10	jimmy161209	Unknown	Undetermined		0.0						true		true			true			true	
A11	Flagged	A11	jimmy161209	Unknown	Undetermined		0.0								true			true				
A12	Flagged	A12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
A13	Flagged	A13	jimmy161209	Unknown	Undetermined		0.0								true			true				
A14	Flagged	A14	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
A15	Flagged	A15	jimmy161209	Unknown	Undetermined		0.0								true			true				
A16	Flagged	A16	jimmy161209	Unknown	37.034794		1.6027383E-6						true		true							
A17	Flagged	A17	jimmy161209	Unknown	Undetermined		0.0								true			true				
A18	Flagged	A18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
A19	Passed	A19	jimmy161209	Unknown	33.146435		1.5541435E-5															
A20	Flagged	A20	jimmy161209	Unknown	24.334198		0.0026760811						true		true							
A21	Flagged	A21	jimmy161209	Unknown	Undetermined		0.0								true			true				
A22	Flagged	A22	jimmy161209	Unknown	21.129107		0.01740829						true		true							
A23	Flagged	A23	jimmy161209	Unknown	Undetermined		0.0								true			true				
A24	Flagged	A24	jimmy161209	Unknown	29.065565		1.6864244E-4						true		true							
B1	Flagged	B1	jimmy161209	Unknown	18.891235		0.064356364						true									
B2	Flagged	B2	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B3	Flagged	B3	jimmy161209	Unknown	Undetermined		0.0						true									
B4	Flagged	B4	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B5	Flagged	B5	jimmy161209	Unknown	Undetermined		0.0						true								true	
B6	Flagged	B6	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B7	Flagged	B7	jimmy161209	Unknown	Undetermined		0.0						true		true							
B8	Flagged	B8	jimmy161209	Unknown	5.111806		201.82304						true		true							
B9	Flagged	B9	jimmy161209	Unknown	Undetermined		0.0						true					true				
B10	Flagged	B10	jimmy161209	Unknown	Undetermined		0.0						true		true						true	
B11	Flagged	B11	jimmy161209	Unknown	15.995894		0.34934336						true		true							
B12	Flagged	B12	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B13	Flagged	B13	jimmy161209	Unknown	33.278347		1.4388649E-5						true									
B14	Flagged	B14	jimmy161209	Unknown	41.86597		9.5280576E-8						true		true							
B15	Flagged	B15	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B16	Flagged	B16	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
B17	Flagged	B17	jimmy161209	Unknown	37.861008		9.890545E-7						true		true							
B18	Flagged	B18	jimmy161209	Unknown	Undetermined		0.0						true		true			true				
