SDS 2.3	Pure Spectra 	1.0
Row 	Reporter	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
A	TAMRA	0.009286107	0.0092929015	0.010525385	0.011900474	0.013489472	0.016175149	0.021824898	0.03124342	0.049119607	0.082240626	0.13577071	0.22102632	0.3434298	0.50135475	0.65674	0.8158567	0.9231987	0.9829115	1.0	0.9554505	0.8918568	0.79328144	0.7080768	0.6307763	0.5768048	0.5401425	0.51000935	0.49089724	0.46575853	0.43018952	0.39193487	0.3434536
A	SYBR	0.027568096	0.07278036	0.18140821	0.35556215	0.5678238	0.7621528	0.90118283	0.97881824	1.0	0.99734503	0.95740074	0.908766	0.83592534	0.7540343	0.65470535	0.57628053	0.50041753	0.4400864	0.39952636	0.36221528	0.3358093	0.30433267	0.27922773	0.25428176	0.23445584	0.21642064	0.19877829	0.18445976	0.17063645	0.15461853	0.13989252	0.12381433
A	FAM	0.03275807	0.10010706	0.24586047	0.46220368	0.6976794	0.8781737	0.9769768	1.0	0.9645051	0.91044015	0.83079445	0.7501239	0.66254693	0.57859814	0.48967147	0.42174345	0.35813516	0.30751094	0.27116635	0.23838742	0.21506855	0.19100404	0.17140085	0.15426368	0.1402007	0.12787892	0.11689431	0.10714688	0.097424425	0.086810544	0.07712143	0.06779886
A	Syto9	0.0549339	0.17896298	0.3927752	0.6331374	0.8294959	0.9285756	0.97433925	1.0	0.9905632	0.9620373	0.8800467	0.7807849	0.6682602	0.5646682	0.46792173	0.4011178	0.3444378	0.3006474	0.2705003	0.24246243	0.22082306	0.19737709	0.17754114	0.15937419	0.14418046	0.13273022	0.1212189	0.11268281	0.10405836	0.09463299	0.08578745	0.07612735
A	VIC	0.009527141	0.011436475	0.014092189	0.022960464	0.0406998	0.07955102	0.15557869	0.2892761	0.47685114	0.6991621	0.88317335	0.9981223	1.0	0.9240082	0.7848736	0.66379464	0.55185497	0.47463086	0.43425897	0.40283963	0.3840262	0.35572475	0.32839102	0.2959218	0.26426947	0.23484789	0.20798913	0.18424925	0.16470322	0.1444478	0.12991993	0.11322719
A	ROX	0.0059605306	0.006029473	0.0063673197	0.007939327	0.008511594	0.00911833	0.009631991	0.010897182	0.0114418715	0.012489879	0.014268726	0.01674395	0.02126001	0.029671643	0.04669827	0.07932432	0.13728519	0.23311558	0.3763234	0.54826856	0.7378368	0.8818651	0.9767922	1.0	0.9749376	0.91172636	0.8245316	0.74240804	0.66741365	0.59247786	0.5373369	0.48452985
A	TET	0.010011234	0.01279715	0.019299636	0.040484656	0.09189011	0.1980833	0.3742678	0.6022793	0.8225235	0.9768813	1.0	0.9283462	0.78977615	0.6452367	0.5142624	0.42841697	0.3670786	0.33113876	0.30759245	0.28234753	0.25788563	0.2243673	0.1945324	0.16619432	0.14234987	0.12444771	0.10952724	0.09797395	0.08966741	0.08059285	0.07235858	0.062377457
A	JOE	0.011498011	0.0129790995	0.017341806	0.0276194	0.05085003	0.10022133	0.19015323	0.3312598	0.51677305	0.722576	0.88451743	0.9866607	1.0	0.95005745	0.8420967	0.7457522	0.64661616	0.5715095	0.5231761	0.47876468	0.4463418	0.40544707	0.36993647	0.33257502	0.3003749	0.2718147	0.2442569	0.22051443	0.19928387	0.17577358	0.15592222	0.13489547
A	NED	0.010779413	0.01130943	0.012789819	0.0138461925	0.016594963	0.019124418	0.025725847	0.041202296	0.07049569	0.1285086	0.22386386	0.3698045	0.5507298	0.74165225	0.880308	0.98032373	1.0	0.976683	0.9400828	0.87735814	0.82483184	0.7578963	0.70691246	0.66158706	0.62762594	0.5976343	0.5623865	0.52937204	0.49240983	0.4431732	0.39646244	0.34498152
B	TAMRA	0.009787499	0.010474442	0.011466032	0.012860833	0.015372667	0.018150322	0.023511494	0.03314965	0.051518008	0.08491555	0.13876618	0.22655198	0.3468214	0.49617252	0.6679091	0.81914186	0.92583376	0.9890028	1.0	0.9589714	0.8910443	0.7987933	0.70947236	0.6308797	0.584469	0.5452803	0.52056205	0.49329332	0.46964148	0.43292564	0.39265266	0.345782
B	SYBR	0.029714426	0.0739884	0.18022309	0.35078257	0.56198215	0.75981915	0.89141387	0.9765431	0.9975187	1.0	0.96420205	0.91397756	0.8361082	0.74619067	0.6682786	0.5828643	0.5061159	0.44739965	0.40412325	0.36743224	0.33876443	0.30932868	0.2829363	0.25715664	0.23902337	0.21988298	0.20418021	0.18755275	0.1728317	0.1572002	0.14150536	0.12597835
B	FAM	0.03349968	0.09810207	0.24338335	0.45413688	0.6896463	0.87622064	0.9668515	1.0	0.9643772	0.9141728	0.8356685	0.7552764	0.6630991	0.5729548	0.4993347	0.42530552	0.36079654	0.31175193	0.27297506	0.24232984	0.21676533	0.1942421	0.17337164	0.15489495	0.14192422	0.12936586	0.11863424	0.1073807	0.09713877	0.08716426	0.07738627	0.06772426
B	Syto9	0.052739296	0.16813584	0.37283835	0.6057071	0.8111179	0.9249381	0.9663644	1.0	0.99108034	0.9647981	0.88578874	0.78724843	0.6733806	0.5609778	0.47930235	0.4088938	0.35030577	0.30770633	0.27566835	0.247502	0.22419031	0.2014834	0.1802978	0.16133957	0.14740883	0.13452993	0.12417908	0.114319175	0.10540966	0.09574932	0.086873144	0.07724513
B	VIC	0.012184872	0.013081686	0.014710497	0.022053694	0.04245555	0.08416448	0.15985313	0.29397386	0.47964457	0.70342064	0.8902404	1.0	0.99974114	0.9110288	0.79869527	0.6689364	0.5600439	0.4860694	0.44029087	0.41018566	0.3898623	0.36304423	0.33357006	0.29897776	0.27011213	0.23960301	0.21298674	0.18876523	0.16756725	0.14818917	0.13135736	0.115592755
B	ROX	0.006737967	0.007235253	0.007278232	0.007652731	0.0088069355	0.009918159	0.010077784	0.011210502	0.012462933	0.013650902	0.01511821	0.01859924	0.022350403	0.03135379	0.049047474	0.083090305	0.1422923	0.24201727	0.38800243	0.5615073	0.74625033	0.89344496	0.9812196	1.0	0.9844858	0.91742843	0.8397009	0.74856484	0.67102766	0.598405	0.5406979	0.49132505
B	TET	0.011635353	0.014060608	0.021208303	0.042267196	0.09434214	0.20170702	0.3731557	0.599801	0.8155766	0.97207636	1.0	0.92894715	0.7892777	0.6392747	0.5248022	0.4343287	0.3722966	0.33603516	0.3111743	0.28612667	0.2598251	0.22892375	0.19709663	0.16734524	0.14645445	0.12656148	0.11285039	0.10049466	0.09130591	0.08155152	0.07333661	0.063990444
B	JOE	0.0123002725	0.01424809	0.01866302	0.028259069	0.052203152	0.102009736	0.18958133	0.33117652	0.51374257	0.71994114	0.8866658	0.9906175	1.0	0.94095004	0.8600529	0.755723	0.6570445	0.58268243	0.5296151	0.48506415	0.45045596	0.41308293	0.37536696	0.33673188	0.30758515	0.27639455	0.2506535	0.22438538	0.20210499	0.17890161	0.15802036	0.13704309
B	NED	0.011465716	0.0120797325	0.012849504	0.013831937	0.016731314	0.020388478	0.027163677	0.042025972	0.07137316	0.13017538	0.22704388	0.3734833	0.5525766	0.7312626	0.8919054	0.9795875	1.0	0.9826637	0.94069463	0.88027805	0.82377905	0.7621644	0.7093166	0.6608031	0.6340108	0.6014047	0.57165617	0.5316131	0.4929148	0.44450903	0.3963069	0.34697857
C	TAMRA	0.01426398	0.0153461285	0.016859572	0.01960023	0.021544967	0.025250152	0.031135313	0.04115695	0.059529968	0.09216304	0.14745067	0.23038407	0.35346285	0.50416785	0.6688701	0.8144976	0.9249708	0.98960185	1.0	0.9632186	0.892283	0.8062717	0.7192372	0.6418752	0.58458006	0.5550053	0.52487767	0.50243086	0.47271883	0.4400269	0.4008108	0.3549685
C	SYBR	0.037876077	0.08025705	0.18251199	0.3491005	0.55717516	0.75362355	0.893989	0.9713291	1.0	0.99078256	0.96747845	0.9065697	0.84169304	0.75479186	0.6687546	0.58339614	0.50994784	0.45279738	0.40867615	0.37334874	0.34353212	0.31516773	0.28861973	0.2634458	0.24129775	0.22571164	0.20802327	0.19236308	0.17653629	0.16146857	0.14597708	0.13062342
C	FAM	0.041323405	0.10129091	0.2398965	0.44707426	0.68206143	0.87051994	0.97502494	1.0	0.9763228	0.9143555	0.84862655	0.7581124	0.67697096	0.5860065	0.50581884	0.43027118	0.36896154	0.3193558	0.28059742	0.25102645	0.2242722	0.20084678	0.18102832	0.16277714	0.14683938	0.13600081	0.123109326	0.11247383	0.10170149	0.09148985	0.0815166	0.07202458
C	Syto9	0.05480898	0.15611178	0.35443908	0.58538294	0.79611593	0.9136364	0.97476304	0.99680996	1.0	0.963055	0.9026665	0.7923685	0.6893327	0.58037204	0.49181187	0.4170441	0.361065	0.31648198	0.28447798	0.2564426	0.23178148	0.20826319	0.1865398	0.16821216	0.15205735	0.14037454	0.12966885	0.11846108	0.10944476	0.1002581	0.09056648	0.0816365
C	VIC	0.017074542	0.019121379	0.022423666	0.029643305	0.047706813	0.08619372	0.16198719	0.2895631	0.4747542	0.68793166	0.8852385	0.9862336	1.0	0.9185938	0.7974196	0.6686552	0.56235766	0.48728263	0.4419707	0.4125064	0.39092556	0.36721548	0.33764377	0.30571675	0.26993886	0.2443012	0.21514459	0.19254972	0.17037153	0.15157345	0.13476405	0.11963836
C	ROX	0.009871553	0.008951767	0.009976442	0.010839748	0.012425163	0.013788706	0.01463588	0.016418971	0.018032625	0.019194465	0.021235736	0.024531636	0.029086182	0.039244156	0.056570817	0.08888432	0.14810558	0.24676056	0.3881775	0.5626946	0.7407134	0.8897388	0.9796477	1.0	0.9696309	0.9184336	0.8304933	0.7484065	0.66740084	0.6013014	0.54518247	0.49556646
C	TET	0.018503942	0.02032535	0.027432065	0.04737452	0.09779427	0.20187582	0.37146366	0.5905803	0.8100367	0.956941	1.0	0.92192274	0.795172	0.6481532	0.5287418	0.4362471	0.37747896	0.34071085	0.31550813	0.29124293	0.26351026	0.23260358	0.20252709	0.17316267	0.1484502	0.13170683	0.11677415	0.10469703	0.09443058	0.08543087	0.07652065	0.066980615
