Well	Time (1/2 s)	Block Temp	Sample Temp	Repetition	PCR Stage	Extension	Scale	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32
103	105	95.2	95.0	1	0	0	2	869	962	1184	1530	1967	2285	2502	2641	2572	2474	2370	2226	2075	1969	1840	1791	1799	1873	2016	2261	2440	2547	2624	2552	2455	2381	2211	2094	1956	1843	1737	1665	
103	122	95.0	95.0	1	0	0	2	869	953	1176	1519	1930	2241	2472	2589	2557	2461	2395	2223	2076	1948	1845	1774	1773	1861	2022	2224	2418	2544	2588	2580	2478	2354	2222	2098	1962	1860	1753	1669	
103	139	95.0	95.0	1	0	0	2	873	956	1177	1532	1903	2249	2489	2590	2539	2434	2337	2217	2077	1925	1820	1773	1764	1856	2011	2221	2426	2532	2579	2559	2432	2333	2207	2075	1929	1811	1742	1654	
103	157	95.0	95.0	1	0	0	2	870	957	1171	1523	1923	2252	2470	2522	2539	2455	2325	2228	2041	1941	1829	1777	1760	1832	2007	2225	2396	2519	2584	2535	2469	2339	2212	2074	1979	1857	1747	1642	
103	174	94.9	95.0	1	0	0	2	870	948	1175	1527	1908	2249	2457	2552	2554	2459	2344	2212	2062	1968	1816	1768	1755	1852	1977	2191	2392	2517	2588	2532	2441	2335	2226	2085	1923	1838	1747	1661	
103	191	95.0	95.0	1	0	0	2	880	957	1176	1528	1924	2248	2461	2613	2530	2457	2335	2198	2092	1921	1826	1791	1786	1843	2006	2237	2422	2543	2600	2566	2460	2330	2198	2087	1953	1821	1729	1636	
103	208	95.0	95.0	1	0	0	2	867	967	1181	1523	1914	2274	2450	2546	2530	2445	2361	2214	2060	1927	1836	1758	1768	1851	2033	2235	2413	2544	2567	2556	2443	2347	2213	2093	1962	1826	1759	1640	
103	226	95.0	95.0	1	0	0	2	887	956	1176	1496	1919	2273	2487	2566	2539	2458	2338	2219	2076	1959	1830	1785	1778	1864	2029	2223	2427	2537	2570	2540	2457	2347	2214	2067	1939	1831	1750	1656	
103	243	95.0	95.0	1	0	0	2	880	953	1174	1514	1928	2272	2516	2586	2518	2475	2376	2244	2065	1940	1856	1800	1780	1860	2022	2228	2435	2534	2621	2534	2473	2352	2239	2114	1968	1830	1769	1670	
103	260	95.0	95.0	1	0	0	2	872	960	1192	1515	1940	2281	2484	2544	2572	2480	2372	2278	2084	2002	1842	1770	1786	1866	2002	2216	2431	2539	2613	2566	2447	2354	2221	2079	1960	1841	1746	1655	
103	277	94.9	95.0	1	0	0	2	875	968	1189	1533	1932	2301	2490	2587	2573	2501	2341	2256	2093	1933	1861	1780	1799	1873	2016	2224	2429	2560	2593	2526	2454	2357	2209	2100	1968	1844	1747	1656	
103	295	94.9	95.0	1	0	0	2	877	955	1176	1518	1942	2279	2501	2605	2584	2459	2349	2217	2103	1931	1815	1806	1800	1858	2028	2259	2413	2560	2570	2553	2458	2332	2197	2086	1973	1836	1741	1714	
103	312	95.0	95.0	1	0	0	2	883	946	1172	1546	1936	2281	2489	2604	2565	2481	2396	2247	2087	1939	1850	1780	1787	1856	2035	2249	2409	2539	2606	2566	2451	2353	2229	2108	1953	1833	1763	1676	
103	329	94.9	95.0	1	0	0	2	874	972	1187	1529	1937	2289	2495	2563	2555	2476	2396	2232	2100	1965	1847	1784	1800	1881	2009	2218	2408	2548	2590	2526	2504	2378	2235	2042	1945	1857	1764	1661	
103	346	95.0	95.0	1	0	0	2	874	972	1173	1505	1914	2261	2484	2564	2557	2514	2359	2224	2078	1930	1860	1798	1784	1867	2041	2259	2427	2546	2615	2544	2471	2369	2254	2090	1955	1830	1732	1675	
103	364	95.0	95.0	1	0	0	2	868	970	1183	1541	1937	2276	2488	2580	2577	2508	2366	2223	2092	1944	1828	1785	1786	1876	2026	2251	2419	2577	2612	2539	2468	2375	2223	2080	1956	1842	1756	1657	
103	381	95.0	95.0	1	0	0	2	883	961	1178	1516	1901	2245	2459	2587	2595	2502	2363	2253	2082	1960	1837	1808	1793	1880	1999	2264	2435	2548	2616	2546	2458	2390	2245	2098	1984	1854	1764	1674	
103	398	95.0	95.0	1	0	0	2	868	947	1202	1519	1943	2317	2495	2585	2528	2471	2365	2232	2066	1942	1835	1785	1790	1868	2005	2223	2442	2560	2600	2542	2478	2337	2222	2089	1975	1847	1750	1674	
103	415	94.9	95.0	1	0	0	2	873	971	1173	1505	1922	2281	2501	2575	2575	2502	2376	2242	2082	1949	1857	1800	1780	1855	2011	2244	2430	2558	2572	2535	2477	2387	2233	2120	1941	1869	1735	1674	
103	433	94.9	95.0	1	0	0	2	866	972	1172	1528	1945	2302	2504	2622	2577	2476	2402	2241	2105	1975	1844	1806	1781	1856	2033	2226	2432	2551	2592	2583	2477	2373	2228	2088	1971	1890	1767	1686	
103	450	94.9	95.0	1	0	0	2	870	958	1171	1519	1961	2282	2464	2594	2559	2495	2369	2249	2095	1993	1850	1784	1822	1874	2023	2248	2424	2543	2601	2600	2491	2358	2227	2108	1982	1833	1766	1670	
103	467	95.0	95.0	1	0	0	2	859	968	1157	1522	1954	2285	2504	2587	2578	2505	2376	2239	2123	1976	1855	1811	1800	1852	2018	2248	2445	2576	2579	2543	2497	2336	2239	2107	1980	1852	1748	1656	
103	484	95.0	95.0	1	0	0	2	867	954	1181	1533	1939	2286	2489	2597	2593	2497	2372	2274	2110	1976	1856	1804	1797	1876	2016	2255	2455	2599	2613	2611	2470	2352	2250	2085	1981	1871	1742	1678	
103	502	94.9	95.0	1	0	0	2	848	957	1183	1514	1945	2308	2505	2592	2574	2486	2415	2240	2089	1990	1833	1792	1774	1869	2043	2253	2441	2572	2605	2589	2494	2368	2225	2121	1999	1852	1768	1672	
103	519	95.0	95.0	1	0	0	2	875	966	1177	1508	1941	2287	2500	2601	2562	2481	2386	2253	2086	1963	1860	1789	1790	1888	2007	2248	2428	2550	2612	2570	2465	2364	2241	2069	1963	1850	1744	1677	
103	536	94.9	95.0	1	0	0	2	858	949	1187	1528	1927	2290	2514	2608	2545	2514	2393	2229	2092	1967	1857	1796	1790	1862	2016	2231	2460	2549	2595	2612	2483	2371	2263	2102	1969	1870	1754	1678	
103	553	95.0	95.0	1	0	0	2	877	967	1192	1534	1936	2307	2517	2618	2578	2515	2402	2256	2109	1975	1870	1794	1808	1868	2034	2244	2429	2585	2632	2581	2498	2371	2226	2126	1976	1842	1763	1685	
103	571	95.0	95.0	1	0	0	2	857	955	1193	1516	1920	2318	2502	2583	2546	2539	2376	2240	2136	1986	1868	1791	1795	1877	2024	2230	2453	2577	2624	2586	2439	2348	2229	2109	1993	1811	1771	1657	
103	588	95.0	95.0	1	0	0	2	849	956	1186	1527	1958	2285	2476	2596	2576	2503	2406	2262	2120	1986	1849	1789	1781	1867	2030	2264	2459	2605	2641	2567	2482	2399	2229	2101	1986	1852	1743	1674	
103	605	94.9	95.0	1	0	0	2	868	968	1190	1529	1948	2318	2511	2605	2566	2467	2384	2234	2110	1951	1870	1799	1796	1860	2026	2236	2448	2580	2639	2559	2491	2362	2245	2105	1992	1856	1770	1681	
103	622	94.9	95.0	1	0	0	2	889	964	1185	1532	1931	2282	2516	2607	2574	2508	2393	2235	2088	1993	1839	1803	1792	1894	2032	2254	2432	2553	2599	2576	2501	2355	2243	2113	1980	1850	1790	1678	
103	640	94.9	95.0	1	0	0	2	873	959	1184	1512	1927	2290	2508	2615	2570	2492	2384	2289	2125	1975	1848	1787	1800	1881	2023	2276	2431	2585	2609	2601	2497	2374	2221	2119	1961	1873	1772	1672	
103	657	94.9	95.0	1	0	0	2	868	982	1183	1531	1950	2305	2501	2625	2582	2541	2387	2241	2099	1975	1861	1837	1822	1871	2042	2264	2440	2559	2595	2592	2478	2385	2251	2085	1980	1832	1746	1669	
103	674	95.0	95.0	1	0	0	2	888	980	1182	1517	1929	2304	2501	2619	2594	2487	2385	2258	2119	1979	1856	1804	1802	1856	2047	2278	2456	2580	2618	2569	2471	2355	2206	2099	1971	1897	1762	1663	
103	691	94.9	95.0	1	0	0	2	887	957	1177	1543	1958	2314	2484	2595	2561	2541	2392	2258	2092	1972	1844	1804	1787	1864	2016	2279	2445	2557	2601	2576	2466	2336	2239	2107	1969	1837	1751	1648	
103	709	94.9	95.0	1	0	0	2	866	960	1186	1524	1978	2290	2510	2617	2555	2500	2403	2254	2091	1972	1848	1800	1788	1890	2027	2248	2453	2593	2603	2587	2494	2366	2237	2144	1974	1834	1768	1658	
103	726	95.0	95.0	1	0	0	2	872	969	1189	1550	1948	2311	2532	2619	2590	2507	2370	2247	2105	1972	1866	1809	1801	1865	2033	2238	2430	2558	2634	2559	2471	2375	2248	2116	1983	1849	1762	1672	
103	743	95.0	95.0	1	0	0	2	883	963	1176	1531	1938	2310	2514	2576	2573	2513	2409	2237	2091	1972	1877	1820	1809	1879	2017	2260	2451	2586	2600	2583	2468	2343	2245	2105	1950	1862	1754	1668	
103	760	94.9	95.0	1	0	0	2	876	960	1184	1513	1943	2277	2527	2624	2591	2508	2402	2268	2106	1980	1867	1800	1797	1879	2033	2273	2453	2594	2613	2589	2488	2387	2224	2103	1993	1855	1759	1687	
103	778	94.9	95.0	1	0	0	2	874	976	1202	1542	1972	2293	2541	2605	2586	2525	2405	2261	2095	1997	1846	1802	1819	1877	2050	2277	2436	2579	2617	2590	2514	2408	2229	2123	1982	1869	1775	1672	
103	795	95.0	95.0	1	0	0	2	895	975	1180	1541	1957	2307	2554	2608	2598	2516	2411	2267	2125	1992	1856	1811	1796	1871	2028	2241	2451	2577	2633	2603	2473	2385	2215	2111	1994	1882	1764	1679	
103	812	95.0	95.0	1	0	0	2	891	957	1184	1528	1946	2337	2487	2612	2618	2502	2408	2278	2120	1995	1842	1813	1794	1889	2039	2240	2455	2586	2649	2598	2479	2389	2238	2134	1986	1867	1782	1687	
103	829	95.0	95.0	1	0	0	2	874	969	1189	1528	1969	2288	2503	2624	2578	2516	2387	2277	2134	1960	1879	1804	1784	1870	2036	2252	2412	2585	2613	2577	2488	2400	2245	2128	1971	1871	1759	1658	
103	847	95.0	95.0	1	0	0	2	883	969	1182	1560	1961	2311	2501	2621	2603	2522	2414	2276	2113	1978	1862	1819	1792	1855	2022	2265	2429	2577	2610	2575	2501	2381	2233	2115	1976	1848	1772	1686	
103	864	95.0	95.0	1	0	0	2	891	960	1196	1542	1934	2257	2519	2624	2594	2509	2377	2271	2106	2016	1856	1801	1817	1867	2029	2276	2438	2558	2595	2568	2512	2378	2250	2132	1999	1873	1768	1675	
103	881	95.0	95.0	1	0	0	2	878	960	1174	1540	1953	2301	2527	2620	2598	2545	2385	2282	2134	1975	1857	1805	1802	1877	2015	2252	2448	2579	2622	2566	2492	2384	2243	2100	1998	1860	1760	1678	
103	898	95.0	95.0	1	0	0	2	869	966	1180	1548	1934	2298	2490	2633	2635	2508	2394	2272	2095	1994	1860	1803	1787	1878	2045	2280	2445	2590	2632	2558	2473	2365	2234	2122	1969	1870	1804	1685	
103	916	95.0	95.0	1	0	0	2	866	962	1184	1522	1955	2274	2498	2615	2607	2504	2378	2251	2102	1980	1850	1817	1795	1863	2017	2278	2454	2563	2631	2561	2493	2357	2269	2132	1981	1866	1778	1670	
103	933	95.0	95.0	1	0	0	2	867	974	1168	1525	1954	2289	2525	2599	2572	2504	2393	2276	2112	1984	1868	1801	1805	1855	2026	2265	2432	2567	2622	2604	2495	2374	2235	2097	1993	1850	1771	1694	
103	950	95.0	95.0	1	0	0	2	869	966	1211	1534	1952	2287	2534	2624	2624	2512	2411	2259	2110	1970	1858	1806	1793	1864	2059	2237	2438	2584	2646	2582	2482	2383	2262	2118	2001	1873	1782	1677	
103	967	95.0	95.0	1	0	0	2	878	959	1190	1522	1947	2324	2539	2607	2613	2551	2421	2263	2136	1990	1849	1808	1801	1856	2047	2277	2462	2590	2632	2608	2489	2413	2275	2110	1987	1884	1766	1697	
103	985	95.0	95.0	1	0	0	2	873	974	1170	1537	1934	2321	2516	2615	2612	2511	2405	2260	2105	1985	1857	1782	1782	1870	2029	2260	2449	2565	2627	2567	2496	2368	2249	2106	1980	1880	1770	1673	
103	1002	94.9	95.0	1	0	0	2	872	967	1190	1518	1939	2312	2488	2605	2589	2482	2407	2281	2117	1967	1855	1810	1787	1904	2044	2268	2441	2596	2626	2583	2469	2351	2262	2129	1978	1859	1786	1672	
103	1019	95.0	95.0	1	0	0	2	878	962	1179	1527	1957	2334	2525	2657	2584	2514	2414	2271	2117	1963	1861	1813	1798	1902	2052	2262	2464	2577	2629	2613	2490	2398	2287	2109	1997	1862	1756	1653	
103	1036	95.0	95.0	1	0	0	2	869	987	1181	1548	1974	2329	2534	2639	2595	2464	2412	2300	2105	2002	1849	1806	1812	1882	2023	2248	2428	2580	2620	2570	2495	2384	2247	2125	2015	1878	1769	1692	
103	1054	94.9	95.0	1	0	0	2	883	974	1174	1549	1943	2302	2531	2613	2595	2487	2411	2287	2076	1963	1870	1818	1798	1878	2046	2268	2451	2535	2634	2580	2490	2388	2266	2107	1972	1853	1784	1666	
103	1071	95.0	95.0	1	0	0	2	872	972	1170	1520	1968	2309	2551	2609	2594	2491	2403	2263	2104	1963	1840	1777	1797	1879	2015	2293	2431	2570	2640	2590	2497	2379	2238	2103	1996	1848	1771	1675	
103	1088	95.0	95.0	1	0	0	2	879	960	1179	1531	1957	2296	2523	2641	2587	2506	2413	2264	2125	1950	1886	1824	1769	1886	2040	2271	2461	2573	2603	2584	2499	2401	2254	2115	1992	1868	1780	1679	
103	1105	94.9	95.0	1	0	0	2	872	962	1178	1528	1932	2367	2524	2640	2593	2518	2408	2290	2116	1975	1860	1813	1810	1886	2040	2237	2471	2573	2610	2560	2487	2401	2219	2098	1997	1834	1759	1661	
103	1123	94.9	95.0	1	0	0	2	872	956	1182	1530	1950	2314	2517	2600	2633	2519	2386	2283	2125	1982	1865	1805	1786	1873	2040	2253	2466	2593	2600	2561	2485	2392	2230	2116	1995	1880	1755	1679	
103	1140	95.0	95.0	1	0	0	2	875	982	1191	1552	1943	2309	2565	2643	2610	2517	2421	2253	2114	1982	1842	1822	1793	1853	2041	2267	2436	2569	2615	2590	2488	2381	2248	2098	2003	1871	1761	1670	
103	1157	95.0	95.0	1	0	0	2	850	956	1171	1536	1932	2277	2500	2635	2603	2511	2408	2250	2110	2001	1848	1786	1796	1878	2048	2259	2458	2578	2610	2595	2473	2385	2216	2097	1977	1866	1771	1676	
103	1174	95.0	95.0	1	0	0	2	891	955	1180	1558	1948	2313	2535	2624	2614	2541	2403	2257	2116	1988	1853	1840	1812	1871	2027	2258	2462	2576	2636	2606	2500	2381	2264	2100	1984	1865	1758	1688	
103	1192	95.0	95.0	1	0	0	2	893	958	1186	1542	1971	2342	2531	2618	2591	2532	2416	2271	2098	1998	1845	1784	1786	1882	2052	2269	2458	2564	2651	2628	2478	2374	2235	2112	1982	1837	1762	1691	
103	1209	95.0	95.0	1	0	0	2	887	951	1174	1534	1954	2311	2514	2623	2585	2515	2426	2244	2118	2004	1853	1787	1786	1886	2042	2257	2439	2587	2611	2584	2510	2399	2270	2105	1968	1885	1755	1669	
103	1226	94.9	95.0	1	0	0	2	883	952	1195	1529	1962	2298	2518	2646	2581	2521	2417	2267	2108	2007	1872	1785	1787	1881	2028	2250	2435	2561	2595	2585	2514	2376	2236	2121	1991	1868	1771	1684	
103	1243	94.9	95.0	1	0	0	2	880	973	1175	1526	1949	2314	2552	2614	2610	2554	2398	2265	2094	1990	1872	1826	1797	1892	2027	2273	2476	2596	2627	2574	2484	2371	2273	2134	1988	1900	1758	1675	
103	1261	95.0	95.0	1	0	0	2	877	981	1178	1527	1976	2299	2512	2614	2601	2522	2407	2304	2097	1995	1866	1815	1781	1893	2060	2241	2462	2580	2631	2609	2479	2385	2256	2103	1993	1879	1783	1693	
103	1278	94.9	95.0	1	0	0	2	876	975	1168	1532	1953	2307	2535	2586	2616	2521	2382	2250	2117	1996	1874	1799	1805	1882	2039	2269	2445	2568	2621	2574	2490	2395	2237	2120	1974	1859	1753	1686	
103	1323	95.0	95.0	1	1	0	2	873	980	1180	1541	1923	2354	2576	2646	2592	2529	2402	2259	2125	2010	1882	1797	1805	1900	2034	2281	2447	2605	2660	2581	2488	2410	2276	2081	1980	1867	1774	1696	
103	1386	59.9	60.2	1	1	1	2	925	1110	1540	2299	3211	3887	4267	4384	4284	4027	3751	3444	3133	2877	2597	2423	2318	2348	2532	2811	3016	3188	3269	3195	3089	2903	2657	2556	2308	2111	2002	1907	
103	1403	60.0	60.0	1	1	1	2	936	1117	1563	2343	3173	3875	4286	4384	4255	4037	3789	3444	3141	2872	2588	2441	2346	2358	2490	2783	3036	3178	3254	3218	3106	2912	2693	2500	2312	2167	2009	1902	
103	1420	60.0	60.0	1	1	1	2	927	1117	1622	2320	3177	3891	4286	4428	4272	4012	3773	3497	3142	2847	2610	2426	2341	2331	2531	2790	3030	3198	3264	3203	3068	2898	2699	2510	2316	2143	2019	1882	
