SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	108	95.1	0	0	1	2608.9385	2102.5098	957.77905	78.65511
1	126	95.0	0	0	1	2546.0305	2084.7256	967.49756	77.97884
1	143	95.0	0	0	1	2539.216	2072.9368	978.0397	73.61878
1	160	95.0	0	0	1	2558.023	2079.4578	966.3347	79.97414
1	177	95.0	0	0	1	2556.383	2087.2637	970.3428	81.538414
1	195	95.0	0	0	1	2544.178	2074.0571	983.18286	77.940834
1	212	95.0	0	0	1	2559.2588	2098.0215	968.36884	75.109245
1	229	95.0	0	0	1	2564.7627	2100.8423	966.7536	79.75735
1	246	95.0	0	0	1	2532.483	2081.0342	997.1764	84.81191
1	264	95.0	0	0	1	2603.9736	2117.5176	963.7838	79.54407
1	281	95.0	0	0	1	2599.2336	2126.0483	967.5796	75.71496
1	298	95.0	0	0	1	2595.3013	2108.6182	962.3453	78.587234
1	315	95.0	0	0	1	2589.914	2101.0935	970.13135	84.66638
1	333	95.0	0	0	1	2572.1858	2106.4675	976.31946	75.09232
1	350	95.0	0	0	1	2575.584	2107.4912	968.4751	74.2379
1	367	95.0	0	0	1	2589.4338	2117.8848	966.6464	73.84925
1	384	95.0	0	0	1	2620.407	2145.438	954.28357	80.76804
1	402	95.0	0	0	1	2605.5796	2120.9624	972.1601	82.31398
1	419	95.0	0	0	1	2581.9656	2096.0781	976.7331	82.8839
1	436	95.0	0	0	1	2601.9436	2116.613	965.11316	75.64262
1	453	95.0	0	0	1	2579.0842	2093.1387	982.44653	82.424904
1	471	95.0	0	0	1	2570.0723	2095.908	987.0791	76.285545
1	488	95.0	0	0	1	2580.0762	2107.7258	982.2644	78.336006
1	505	95.0	0	0	1	2612.4727	2124.536	972.67804	80.52069
1	522	95.0	0	0	1	2593.6982	2107.499	972.29944	87.37133
1	540	95.0	0	0	1	2604.6245	2114.0806	981.6618	79.34168
1	557	95.0	0	0	1	2637.7983	2145.5825	973.46344	83.43189
1	574	95.0	0	0	1	2596.755	2110.859	985.72736	82.21772
1	591	95.0	0	0	1	2598.2458	2115.0537	992.79047	79.48591
1	609	95.0	0	0	1	2630.9678	2139.564	954.9377	80.99028
1	626	95.0	0	0	1	2586.5293	2103.8887	985.98096	77.643585
1	643	95.0	0	0	1	2606.6213	2115.3013	982.4101	83.050644
1	660	95.0	0	0	1	2609.0046	2125.1309	991.995	84.90083
1	678	95.0	0	0	1	2609.2407	2108.895	993.5608	79.65694
1	695	95.0	0	0	1	2648.3423	2145.3782	975.1725	82.12321
1	712	95.0	0	0	1	2644.5156	2139.7197	973.0292	80.54361
1	729	95.0	0	0	1	2608.6755	2118.8184	993.2882	84.08039
1	747	95.0	0	0	1	2630.9678	2142.6392	968.4774	80.589165
1	764	95.0	0	0	1	2621.1245	2125.4075	981.73944	87.92634
1	781	95.0	0	0	1	2642.4194	2144.6843	976.98364	77.215706
1	798	95.0	0	0	1	2641.1934	2140.3557	970.22253	82.9513
1	816	95.0	0	0	1	2635.466	2137.6018	978.1349	79.51015
1	833	95.0	0	0	1	2654.0142	2162.5417	970.4442	77.434746
1	850	95.0	0	0	1	2672.7124	2156.1633	962.97125	83.61725
1	867	95.0	0	0	1	2666.7493	2166.4514	962.89075	77.260735
1	884	95.0	0	0	1	2651.4285	2132.5374	975.49005	83.14399
1	902	95.0	0	0	1	2641.8645	2130.0427	988.01636	78.18889
1	919	95.0	0	0	1	2668.9	2161.8674	963.08606	76.843445
1	936	95.0	0	0	1	2637.3782	2144.3013	984.87036	81.64178
1	953	95.0	0	0	1	2672.679	2139.678	966.69116	79.70541
1	971	95.0	0	0	1	2640.7478	2155.9302	976.696	86.020775
1	988	95.0	0	0	1	2626.2087	2111.2969	1004.32294	82.51331
1	1005	95.0	0	0	1	2667.333	2150.6472	972.1356	85.19972
1	1022	95.0	0	0	1	2662.7583	2136.1445	981.0505	85.95093
1	1040	95.0	0	0	1	2653.6648	2141.9453	986.58704	79.83379
1	1057	95.0	0	0	1	2631.5085	2144.0894	985.6085	77.12189
1	1074	95.0	0	0	1	2642.8577	2135.2612	981.00757	87.258575
