Well	Time (1/2 s)	Block Temp	Sample Temp	Repetition	PCR Stage	Extension	Scale	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32
115	98	95.4	94.6	1	0	0	2	884	990	1293	1752	2278	2818	3081	3168	3176	3101	2892	2744	2535	2348	2202	2132	2096	2237	2438	2716	2989	3131	3210	3167	3032	2870	2756	2561	2376	2188	2079	1941	
115	115	94.9	95.0	1	0	0	2	890	1018	1292	1724	2236	2712	2997	3152	3080	2997	2853	2664	2486	2325	2140	2096	2064	2198	2394	2692	2988	3097	3162	3114	2991	2825	2695	2504	2336	2197	2064	1922	
115	133	95.0	95.0	1	0	0	2	877	997	1281	1714	2244	2724	2984	3146	3063	3021	2851	2692	2467	2307	2153	2104	2078	2196	2397	2683	2934	3061	3168	3087	2981	2842	2665	2507	2328	2168	2052	1949	
115	150	95.0	95.0	1	0	0	2	892	993	1281	1713	2215	2711	2990	3090	3084	2980	2802	2665	2487	2339	2118	2114	2064	2193	2424	2642	2917	3072	3161	3117	2973	2851	2696	2502	2334	2176	2034	1911	
115	167	95.0	95.0	1	0	0	2	883	1002	1269	1698	2257	2730	2958	3125	3088	2979	2874	2695	2526	2326	2144	2070	2076	2147	2395	2668	2955	3116	3158	3098	2992	2831	2652	2506	2343	2186	2053	1913	
115	184	95.0	95.0	1	0	0	2	889	1000	1302	1736	2249	2704	3008	3121	3068	2992	2863	2650	2480	2303	2161	2085	2044	2200	2398	2698	2930	3092	3138	3120	2965	2839	2659	2495	2347	2196	2050	1939	
115	202	95.0	95.0	1	0	0	2	874	1008	1276	1719	2217	2712	3008	3102	3089	2991	2864	2669	2476	2292	2160	2107	2073	2208	2400	2688	2912	3074	3147	3113	2973	2858	2687	2491	2318	2185	2073	1931	
115	219	94.9	95.0	1	0	0	2	890	1001	1298	1736	2242	2736	3001	3116	3060	2984	2829	2662	2471	2305	2181	2108	2093	2164	2390	2689	2952	3101	3157	3119	2984	2853	2638	2500	2316	2176	2047	1939	
115	236	95.0	95.0	1	0	0	2	894	1037	1283	1725	2223	2719	2970	3138	3089	3002	2853	2666	2470	2326	2163	2078	2071	2196	2393	2704	2927	3089	3198	3125	3018	2834	2669	2493	2314	2152	2045	1913	
115	253	95.0	95.0	1	0	0	2	893	1001	1282	1723	2261	2726	2996	3153	3094	2995	2885	2705	2467	2329	2163	2118	2099	2188	2404	2692	2959	3114	3171	3103	3018	2857	2689	2494	2334	2192	2074	1928	
115	271	95.0	95.0	1	0	0	2	884	1005	1267	1722	2245	2712	2981	3134	3091	2974	2830	2690	2468	2299	2196	2098	2098	2203	2365	2684	2939	3101	3159	3090	3007	2875	2701	2497	2329	2181	2037	1937	
115	288	95.0	95.0	1	0	0	2	887	1008	1279	1716	2247	2704	2981	3126	3096	2994	2866	2669	2490	2300	2162	2090	2082	2186	2390	2675	2936	3092	3176	3131	3007	2836	2686	2495	2342	2178	2049	1934	
115	305	94.9	95.0	1	0	0	2	888	999	1290	1723	2269	2698	2999	3127	3137	2980	2878	2679	2490	2348	2147	2096	2086	2177	2438	2706	2954	3072	3149	3097	3006	2813	2678	2517	2348	2165	2078	1967	
115	322	95.0	95.0	1	0	0	2	894	1016	1271	1722	2259	2717	2992	3126	3120	3027	2864	2687	2498	2342	2164	2100	2092	2195	2398	2678	2944	3109	3160	3113	2975	2856	2650	2531	2342	2184	2046	1937	
115	340	95.0	95.0	1	0	0	2	866	985	1280	1727	2261	2697	2998	3205	3106	3014	2886	2702	2484	2330	2183	2113	2090	2190	2412	2701	2938	3102	3173	3112	2989	2855	2679	2544	2350	2209	2056	1944	
