SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	109	95.0	0	0	1	2661.1755	2130.1675	985.87427	79.49053
1	126	95.0	0	0	1	2588.0674	2086.867	1018.4769	79.695
1	144	95.0	0	0	1	2551.6738	2073.6936	1012.05414	78.16015
1	161	95.0	0	0	1	2576.2783	2105.5894	996.4004	82.851006
1	178	95.0	0	0	1	2561.5781	2093.3635	1001.865	84.87224
1	195	95.0	0	0	1	2545.3875	2074.4727	1024.8158	84.82477
1	213	95.0	0	0	1	2574.775	2109.073	993.2616	84.6919
1	230	95.0	0	0	1	2580.2798	2104.427	1008.5021	82.90789
1	247	95.0	0	0	1	2560.8528	2093.702	1008.2085	82.515884
1	264	95.0	0	0	1	2581.2078	2101.6985	1004.97736	80.07678
1	282	95.0	0	0	1	2576.2085	2105.4783	1008.83997	77.45052
1	299	95.0	0	0	1	2564.5273	2109.2073	1018.297	84.90531
1	316	95.0	0	0	1	2575.064	2099.341	1007.2435	81.18869
1	333	95.0	0	0	1	2560.6853	2094.1807	1012.05237	86.13886
1	351	95.0	0	0	1	2580.8503	2109.9626	1010.2184	83.68182
1	368	95.0	0	0	1	2570.9194	2091.0933	1034.7896	87.04091
1	385	95.0	0	0	1	2584.5361	2104.647	1011.2467	81.83811
1	402	95.0	0	0	1	2578.0842	2105.4468	1016.5609	87.62705
1	420	95.0	0	0	1	2572.0024	2094.793	1027.2112	82.56003
1	437	95.0	0	0	1	2576.898	2098.4958	1026.9734	84.259026
1	454	95.0	0	0	1	2562.4731	2098.8762	1018.405	87.99924
1	471	95.0	0	0	1	2617.2883	2126.0112	1009.4861	85.65432
1	489	95.0	0	0	1	2606.9663	2140.393	1001.3037	84.284256
1	506	95.0	0	0	1	2601.7139	2104.9343	1021.50366	81.88879
1	523	95.0	0	0	1	2617.144	2127.9514	1006.43085	81.61181
1	540	95.0	0	0	1	2601.5747	2120.7954	1017.77905	83.896935
1	558	95.0	0	0	1	2602.855	2128.1504	1020.4973	80.466156
1	575	95.0	0	0	1	2580.9016	2091.5942	1026.7402	83.62853
1	592	95.0	0	0	1	2590.0662	2112.3843	1016.9164	84.46572
1	609	95.0	0	0	1	2599.1558	2123.875	1008.8568	85.27494
1	627	95.0	0	0	1	2618.933	2132.9795	1004.36884	87.38194
