SDS 2.3	Multicomponent	1.0
Well	Time	Temp	Cycle	Step	Repeat	FAM	ROX	BKGND - A1	mse/chan
1	109	95.1	0	0	1	2238.4966	1864.0078	1025.984	77.40491
1	126	95.0	0	0	1	2238.627	1873.4558	1012.4208	78.972786
1	144	95.0	0	0	1	2203.2827	1836.56	1034.5781	74.6524
1	161	95.0	0	0	1	2160.2996	1824.3721	1039.7018	75.51446
1	178	95.0	0	0	1	2183.4846	1837.6914	1016.8688	71.23125
1	195	95.0	0	0	1	2201.9304	1842.4318	1027.3079	73.02797
1	213	95.0	0	0	1	2198.6157	1846.0413	1019.7646	69.98187
1	230	95.0	0	0	1	2216.991	1864.3577	1010.3471	76.93672
1	247	95.0	0	0	1	2196.5	1855.5265	1017.03955	71.712746
1	264	95.0	0	0	1	2176.8428	1840.6489	1036.3955	78.26064
1	282	95.0	0	0	1	2211.4697	1856.75	1025.1057	72.10076
1	299	95.0	0	0	1	2193.4578	1849.8799	1016.97705	80.354744
1	316	95.0	0	0	1	2204.5613	1851.8208	1028.3352	75.1203
1	333	95.0	0	0	1	2200.3572	1842.7563	1027.018	73.35068
1	351	95.0	0	0	1	2206.938	1866.7799	1016.07214	70.94499
1	368	95.0	0	0	1	2169.3918	1823.956	1052.8772	72.52263
1	385	95.0	0	0	1	2206.2617	1848.5776	1032.3363	70.71982
1	402	95.0	0	0	1	2201.4846	1850.3835	1043.4011	77.227196
1	420	95.0	0	0	1	2199.1445	1852.4048	1033.9236	81.1048
1	437	95.0	0	0	1	2212.0251	1866.4944	1028.6748	74.95866
1	454	95.0	0	0	1	2251.6978	1880.8645	1000.1554	69.86045
1	471	95.0	0	0	1	2204.5806	1857.406	1048.0271	75.2122
1	489	95.0	0	0	1	2233.496	1880.3193	1026.3857	72.679565
1	506	95.0	0	0	1	2235.721	1885.7065	1013.1579	71.26801
1	523	95.0	0	0	1	2250.4468	1866.8889	1011.82855	72.89233
1	540	95.0	0	0	1	2231.6277	1864.0044	1030.349	78.49149
1	558	95.0	0	0	1	2207.1882	1855.3628	1032.7656	73.789635
1	575	95.0	0	0	1	2250.771	1894.4978	1016.9714	77.90816
1	592	95.0	0	0	1	2245.2605	1887.277	1020.6448	75.47285
1	609	95.0	0	0	1	2266.588	1897.0977	1008.5067	75.92203
1	627	95.0	0	0	1	2240.2578	1875.5198	1030.6862	75.76636
1	644	95.0	0	0	1	2208.0366	1861.5278	1044.2007	73.34252
1	661	95.0	0	0	1	2244.1997	1884.883	1036.4912	74.45903
1	678	95.0	0	0	1	2266.099	1910.383	1013.62384	79.80654
1	696	95.0	0	0	1	2231.176	1871.0022	1042.213	73.9128
1	713	95.0	0	0	1	2246.8096	1901.4507	1033.5624	80.02102
1	730	95.0	0	0	1	2246.9724	1887.4042	1035.8325	72.44332
1	747	95.0	0	0	1	2236.5579	1873.6465	1027.1086	74.99944
1	765	95.0	0	0	1	2260.398	1904.7744	1017.3662	81.58549
1	782	95.0	0	0	1	2231.6604	1866.9963	1047.4658	76.72496
1	799	95.0	0	0	1	2254.6934	1896.6088	1028.9089	71.35697
1	816	95.0	0	0	1	2288.4968	1910.2753	1009.4968	73.49174
1	834	95.0	0	0	1	2274.995	1910.7693	1026.7291	79.26968
1	851	95.0	0	0	1	2268.6833	1917.9785	1029.5012	73.646774
1	868	95.0	0	0	1	2254.0522	1888.8479	1027.4017	76.96021
1	885	95.0	0	0	1	2284.0713	1908.355	1016.65625	76.26944
1	903	95.0	0	0	1	2272.8374	1903.813	1022.0851	77.59635
1	920	95.0	0	0	1	2238.156	1875.5282	1048.6735	76.274765
1	937	95.0	0	0	1	2252.8096	1892.147	1028.4076	75.46364
1	954	95.0	0	0	1	2270.9858	1903.1812	1032.3369	79.899254
1	972	95.0	0	0	1	2264.427	1890.7832	1038.4669	79.31705
1	989	95.0	0	0	1	2311.8792	1934.6865	1006.46063	78.738815
1	1006	95.0	0	0	1	2291.212	1903.7249	1015.50275	79.5
1	1023	95.0	0	0	1	2277.3225	1901.1206	1019.355	80.03523
1	1041	95.0	0	0	1	2269.5059	1894.6326	1030.7974	76.55696
1	1058	95.0	0	0	1	2276.1548	1897.2079	1033.1775	75.518936
1	1075	95.0	0	0	1	2277.7952	1913.1083	1025.0083	74.51155
1	1092	95.0	0	0	1	2257.5781	1895.2848	1043.0096	81.663605
1	1110	95.0	0	0	1	2312.2598	1919.5316	1023.00146	79.13001
1	1127	95.0	0	0	1	2280.8765	1887.2417	1025.8115	75.949165
1	1144	95.0	0	0	1	2312.81	1923.2102	1018.1637	77.16425
1	1161	95.0	0	0	1	2277.431	1897.8315	1031.6804	74.3019
1	1179	95.0	0	0	1	2285.533	1913.5259	1035.7798	80.0894
1	1196	95.0	0	0	1	2293.799	1904.5723	1034.1602	76.62225
1	1213	95.0	0	0	1	2271.5078	1892.4956	1045.122	77.31749
1	1230	95.0	0	0	1	2303.3652	1920.9327	1019.3749	78.74978
1	1248	95.0	0	0	1	2318.2744	1912.778	1038.6855	78.66632
1	1265	95.0	0	0	1	2296.7551	1899.2903	1036.4968	74.39019
1	1282	95.0	0	0	1	2282.2053	1903.0923	1037.6287	80.485756
1	1392	60.1	1	1	1	4661.213	2427.9138	789.5633	70.548904
1	1409	60.0	1	1	1	4732.7686	2443.072	782.8473	70.692024
1	1427	60.0	1	1	1	4753.969	2457.3784	779.9857	76.31001
1	1444	60.0	1	1	1	4788.8687	2469.3535	771.0315	74.4515
1	1461	60.0	1	1	1	4812.968	2464.6738	796.9581	71.74428
1	1478	60.0	1	1	1	4774.541	2441.705	795.908	71.77786
1	1496	60.0	1	1	1	4825.1895	2481.628	781.58496	73.40388
1	1558	95.1	1	0	2	2261.4358	1844.0872	1024.3864	68.18239
1	1636	60.1	1	1	2	4722.274	2472.303	757.4386	76.92555
1	1653	60.0	1	1	2	4703.371	2435.3752	794.36334	66.05971
1	1671	60.0	1	1	2	4719.6855	2438.827	787.5968	67.2538
1	1688	60.0	1	1	2	4729.334	2446.3909	794.197	72.66903
1	1705	60.0	1	1	2	4752.566	2459.149	777.03314	71.25588
1	1722	60.0	1	1	2	4698.169	2435.4902	804.6809	71.43164
1	1740	60.0	1	1	2	4730.055	2439.5469	798.5957	71.65258
1	1802	95.0	1	0	3	2277.0088	1853.8088	1013.86127	71.09654
1	1880	60.1	1	1	3	4699.957	2452.7573	776.2672	76.11814
1	1898	60.0	1	1	3	4669.7085	2407.2346	793.19214	71.845055
1	1915	60.0	1	1	3	4709.5757	2408.8677	807.7983	74.57949
1	1932	60.0	1	1	3	4764.296	2483.9875	763.6873	70.595566
1	1949	60.0	1	1	3	4748.215	2442.1152	784.15466	70.86003
1	1967	60.0	1	1	3	4748.2207	2462.5254	769.90234	68.65563
1	1984	60.0	1	1	3	4678.2197	2390.5005	817.63007	70.995445
1	2048	95.0	1	0	4	2300.6199	1873.9165	1007.60364	72.924934
1	2128	60.0	1	1	4	4681.643	2417.754	790.4907	70.61545
1	2146	60.0	1	1	4	4746.5947	2458.5398	771.0417	65.92405
1	2163	60.0	1	1	4	4742.475	2433.6426	774.25934	68.306404
1	2180	60.0	1	1	4	4729.505	2438.2158	779.297	69.597275
1	2197	60.0	1	1	4	4671.733	2381.968	807.66876	66.2504
1	2215	60.0	1	1	4	4721.6997	2438.6326	784.3164	76.86618
1	2232	60.0	1	1	4	4726.3535	2427.349	791.0232	77.07099
1	2294	95.1	1	0	5	2264.2876	1832.0396	1022.8632	74.788536
1	2375	60.0	1	1	5	4701.448	2406.16	800.5338	66.49095
1	2392	60.0	1	1	5	4697.53	2416.266	805.4477	71.80861
1	2409	60.0	1	1	5	4728.7124	2430.5422	771.1195	71.48726
1	2426	60.0	1	1	5	4731.14	2438.4307	788.0616	76.83118
1	2444	60.0	1	1	5	4681.193	2415.5344	794.14246	68.11935
