Well	Time (1/2 s)	Block Temp	Sample Temp	Repetition	PCR Stage	Extension	Scale	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32
97	109	94.9	95.1	1	0	0	2	922	1021	1250	1630	2092	2475	2697	2807	2774	2646	2578	2407	2287	2121	1998	1946	1947	1999	2199	2445	2632	2802	2793	2788	2658	2544	2415	2271	2123	1988	1891	1784	
97	126	95.0	95.0	1	0	0	2	920	1008	1246	1630	2045	2458	2682	2794	2780	2652	2566	2416	2257	2119	2004	1924	1951	2004	2198	2431	2642	2789	2834	2763	2652	2553	2398	2253	2086	1982	1883	1779	
97	144	95.0	95.0	1	0	0	2	907	1014	1255	1628	2063	2442	2676	2801	2735	2656	2560	2422	2250	2109	2009	1959	1937	2019	2212	2408	2625	2778	2795	2776	2684	2533	2408	2244	2117	1996	1864	1768	
97	161	95.0	95.0	1	0	0	2	910	1015	1277	1639	2053	2455	2681	2785	2735	2650	2558	2423	2234	2109	1989	1948	1913	2026	2183	2404	2619	2767	2816	2775	2640	2552	2398	2221	2097	1977	1884	1756	
97	178	95.0	95.0	1	0	0	2	906	1016	1258	1638	2077	2434	2680	2761	2732	2650	2541	2396	2238	2105	1948	1930	1907	2002	2166	2413	2651	2756	2834	2806	2659	2582	2374	2275	2110	1992	1891	1772	
97	195	95.0	95.0	1	0	0	2	901	1030	1267	1630	2060	2441	2640	2781	2723	2630	2521	2387	2247	2089	1991	1904	1934	2010	2178	2415	2620	2764	2792	2739	2682	2576	2396	2269	2097	1979	1889	1775	
97	213	95.0	95.0	1	0	0	2	882	1030	1254	1618	2052	2413	2650	2760	2744	2659	2543	2382	2247	2085	1982	1914	1917	2012	2165	2411	2620	2795	2784	2771	2654	2553	2433	2222	2114	1970	1895	1780	
97	230	95.0	95.0	1	0	0	2	923	1028	1238	1619	2059	2432	2666	2772	2756	2676	2558	2418	2251	2102	1991	1928	1932	1993	2172	2420	2656	2771	2805	2779	2675	2540	2410	2268	2127	1980	1860	1776	
97	247	95.0	95.0	1	0	0	2	929	1009	1251	1604	2050	2443	2666	2793	2746	2650	2556	2421	2229	2114	1986	1929	1914	2009	2180	2438	2645	2772	2814	2754	2659	2551	2379	2242	2106	1994	1891	1782	
97	264	95.0	95.0	1	0	0	2	920	1018	1259	1635	2068	2425	2669	2769	2745	2644	2537	2390	2235	2124	1978	1926	1915	1997	2182	2443	2640	2752	2819	2759	2668	2560	2394	2251	2159	1970	1889	1796	
97	282	95.0	95.0	1	0	0	2	904	1022	1251	1614	2070	2460	2645	2785	2738	2700	2571	2419	2242	2097	1985	1904	1928	2032	2177	2421	2612	2780	2830	2767	2668	2554	2421	2256	2102	1996	1920	1801	
97	299	95.0	95.0	1	0	0	2	916	1016	1250	1628	2053	2459	2661	2795	2741	2645	2566	2405	2260	2095	1982	1945	1911	2010	2194	2437	2608	2755	2817	2750	2667	2562	2387	2248	2102	2009	1879	1789	
97	316	94.9	95.0	1	0	0	2	913	1023	1251	1651	2062	2439	2673	2809	2717	2666	2567	2390	2243	2120	1984	1954	1923	2047	2183	2429	2631	2776	2789	2794	2661	2535	2413	2240	2110	1969	1890	1787	
97	333	94.9	95.0	1	0	0	2	900	1018	1255	1636	2074	2447	2679	2775	2754	2667	2585	2428	2246	2116	1991	1931	1948	2023	2221	2448	2630	2773	2824	2800	2661	2554	2421	2308	2132	1990	1891	1802	
97	351	95.0	95.0	1	0	0	2	912	1025	1254	1636	2066	2432	2656	2798	2740	2678	2570	2413	2256	2102	1982	1913	1930	2016	2197	2455	2645	2781	2814	2773	2691	2542	2387	2272	2121	2011	1880	1797	
97	368	94.9	95.0	1	0	0	2	910	1014	1253	1634	2063	2474	2666	2789	2768	2676	2550	2417	2260	2084	2000	1950	1929	2039	2209	2437	2648	2782	2825	2807	2699	2570	2438	2251	2137	1978	1870	1818	
97	385	95.0	95.0	1	0	0	2	918	1022	1255	1658	2067	2430	2679	2761	2766	2666	2574	2418	2272	2121	1992	1960	1934	2013	2232	2430	2629	2821	2842	2794	2706	2564	2437	2263	2112	2007	1892	1821	
97	402	95.0	95.0	1	0	0	2	916	1002	1266	1637	2092	2468	2670	2814	2790	2695	2585	2437	2249	2129	2040	1941	1906	2026	2209	2465	2643	2775	2842	2806	2666	2589	2443	2271	2150	2014	1877	1810	
97	420	95.0	95.0	1	0	0	2	930	1017	1259	1608	2062	2430	2682	2781	2744	2693	2544	2400	2256	2119	1992	1950	1938	2012	2201	2440	2644	2802	2840	2766	2679	2564	2439	2288	2123	1993	1882	1797	
