template_type,template_conc,template_name,template_rep,plate_row,plate_col,plate_well
standard,1,std_1,1,A,1,A1
standard,0.1,std_0.1,1,B,1,B1
standard,0.01,std_0.01,1,C,1,C1
standard,0.001,std_0.001,1,D,1,D1
standard,1e-04,std_1e-04,1,E,1,E1
standard,1e-05,std_1e-05,1,F,1,F1
standard,1e-06,std_1e-06,1,G,1,G1
standard,0,std_0,1,H,1,H1
standard,1,std_1,2,A,2,A2
standard,0.1,std_0.1,2,B,2,B2
standard,0.01,std_0.01,2,C,2,C2
standard,0.001,std_0.001,2,D,2,D2
standard,1e-04,std_1e-04,2,E,2,E2
standard,1e-05,std_1e-05,2,F,2,F2
standard,1e-06,std_1e-06,2,G,2,G2
standard,0,std_0,2,H,2,H2
standard,1,std_1,3,A,3,A3
standard,0.1,std_0.1,3,B,3,B3
standard,0.01,std_0.01,3,C,3,C3
standard,0.001,std_0.001,3,D,3,D3
standard,1e-04,std_1e-04,3,E,3,E3
standard,1e-05,std_1e-05,3,F,3,F3
standard,1e-06,std_1e-06,3,G,3,G3
standard,0,std_0,3,H,3,H3
standard,1,std_1,4,A,4,A4
standard,0.1,std_0.1,4,B,4,B4
standard,0.01,std_0.01,4,C,4,C4
standard,0.001,std_0.001,4,D,4,D4
standard,1e-04,std_1e-04,4,E,4,E4
standard,1e-05,std_1e-05,4,F,4,F4
standard,1e-06,std_1e-06,4,G,4,G4
standard,0,std_0,4,H,4,H4
sample,NA,001,1,A,5,A5
sample,NA,002,1,B,5,B5
sample,NA,003,1,C,5,C5
sample,NA,004,1,D,5,D5
sample,NA,025,1,E,5,E5
sample,NA,026,1,F,5,F5
sample,NA,027,1,G,5,G5
sample,NA,028,1,H,5,H5
sample,NA,001,2,A,6,A6
sample,NA,002,2,B,6,B6
sample,NA,003,2,C,6,C6
sample,NA,004,2,D,6,D6
sample,NA,025,2,E,6,E6
sample,NA,026,2,F,6,F6
sample,NA,027,2,G,6,G6
sample,NA,028,2,H,6,H6
sample,NA,001,3,A,7,A7
sample,NA,002,3,B,7,B7
sample,NA,003,3,C,7,C7
sample,NA,004,3,D,7,D7
sample,NA,025,3,E,7,E7
sample,NA,026,3,F,7,F7
sample,NA,027,3,G,7,G7
sample,NA,028,3,H,7,H7
sample,NA,001,4,A,8,A8
sample,NA,002,4,B,8,B8
sample,NA,003,4,C,8,C8
sample,NA,004,4,D,8,D8
sample,NA,025,4,E,8,E8
sample,NA,026,4,F,8,F8
sample,NA,027,4,G,8,G8
sample,NA,028,4,H,8,H8
sample,NA,091,1,A,9,A9
sample,NA,092,1,B,9,B9
sample,NA,093,1,C,9,C9
sample,NA,094,1,D,9,D9
sample,NA,096,1,E,9,E9
sample,NA,097,1,F,9,F9
sample,NA,098,1,G,9,G9
sample,NA,099,1,H,9,H9
sample,NA,091,2,A,10,A10
sample,NA,092,2,B,10,B10
sample,NA,093,2,C,10,C10
sample,NA,094,2,D,10,D10
sample,NA,096,2,E,10,E10
sample,NA,097,2,F,10,F10
sample,NA,098,2,G,10,G10
sample,NA,099,2,H,10,H10
sample,NA,091,3,A,11,A11
sample,NA,092,3,B,11,B11
sample,NA,093,3,C,11,C11
sample,NA,094,3,D,11,D11
sample,NA,096,3,E,11,E11
sample,NA,097,3,F,11,F11
sample,NA,098,3,G,11,G11
sample,NA,099,3,H,11,H11
sample,NA,091,4,A,12,A12
sample,NA,092,4,B,12,B12
sample,NA,093,4,C,12,C12
sample,NA,094,4,D,12,D12
sample,NA,096,4,E,12,E12
sample,NA,097,4,F,12,F12
sample,NA,098,4,G,12,G12
sample,NA,099,4,H,12,H12
