SDS 2.4	AQ Results	1.0
Filename	CKCO3-170830
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/30/17 6:17:35 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
1	A1	jimmy161209	FAM	Standard	20.648642			1.0						Automatic Ct		Automatic			Automatic	0.051114295													
2	A2	jimmy161209	FAM	Standard	21.341427			1.0						Automatic Ct		Automatic			Automatic	0.051114295													
3	A3	jimmy161209	FAM	Standard	21.683153			1.0						Automatic Ct		Automatic			Automatic	0.051114295													
4	A4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
5	A5	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
6	A6	jimmy161209	FAM	Unknown	35.380447			2.2026275E-4						Automatic Ct		Automatic			Automatic	0.051114295													
7	A7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
8	A8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
9	A9	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
10	A10	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
11	A11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
12	A12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
13	A13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
14	A14	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
15	A15	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
16	A16	jimmy161209	FAM	Unknown	36.826874			9.242345E-5						Automatic Ct		Automatic			Automatic	0.051114295						true							
17	A17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
18	A18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
19	A19	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
20	A20	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
21	A21	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
22	A22	jimmy161209	FAM	Unknown	35.56173			1.9754736E-4						Automatic Ct		Automatic			Automatic	0.051114295													
23	A23	jimmy161209	FAM	Unknown	33.489292			6.8558904E-4						Automatic Ct		Automatic			Automatic	0.051114295													
24	A24	jimmy161209	FAM	Unknown	33.796246			5.701972E-4						Automatic Ct		Automatic			Automatic	0.051114295													
25	B1	jimmy161209	FAM	Standard	24.957949			0.1						Automatic Ct		Automatic			Automatic	0.051114295													
26	B2	jimmy161209	FAM	Standard	25.45092			0.1						Automatic Ct		Automatic			Automatic	0.051114295													
27	B3	jimmy161209	FAM	Standard	24.997643			0.1						Automatic Ct		Automatic			Automatic	0.051114295													
28	B4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
29	B5	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
30	B6	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
31	B7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
32	B8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
33	B9	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
34	B10	jimmy161209	FAM	Unknown	36.487373			1.133203E-4						Automatic Ct		Automatic			Automatic	0.051114295													
35	B11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
36	B12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
37	B13	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
38	B14	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
39	B15	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
40	B16	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
41	B17	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
42	B18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
43	B19	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
44	B20	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
45	B21	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
46	B22	jimmy161209	FAM	Unknown	33.424854			7.126334E-4						Automatic Ct		Automatic			Automatic	0.051114295													
47	B23	jimmy161209	FAM	Unknown	33.079994			8.765755E-4						Automatic Ct		Automatic			Automatic	0.051114295													
48	B24	jimmy161209	FAM	Unknown	34.369514			4.0415133E-4						Automatic Ct		Automatic			Automatic	0.051114295													
49	C1	jimmy161209	FAM	Standard	29.2481			0.01						Automatic Ct		Automatic			Automatic	0.051114295													
50	C2	jimmy161209	FAM	Standard	29.731737			0.01						Automatic Ct		Automatic			Automatic	0.051114295													
51	C3	jimmy161209	FAM	Standard	29.313803			0.01						Automatic Ct		Automatic			Automatic	0.051114295													
52	C4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
53	C5	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
54	C6	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
55	C7	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
56	C8	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
57	C9	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
58	C10	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
59	C11	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
60	C12	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
61	C13	jimmy161209	FAM	Unknown	34.404663			3.9571177E-4						Automatic Ct		Automatic			Automatic	0.051114295													
62	C14	jimmy161209	FAM	Unknown	34.521885			3.6881876E-4						Automatic Ct		Automatic			Automatic	0.051114295													
63	C15	jimmy161209	FAM	Unknown	34.002075			5.03912E-4						Automatic Ct		Automatic			Automatic	0.051114295													
64	C16	jimmy161209	FAM	Unknown	35.65924			1.8631382E-4						Automatic Ct		Automatic			Automatic	0.051114295													
65	C17	jimmy161209	FAM	Unknown	35.698322			1.8199286E-4						Automatic Ct		Automatic			Automatic	0.051114295													
66	C18	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
67	C19	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
68	C20	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
69	C21	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
70	C22	jimmy161209	FAM	Unknown	35.45906			2.1010797E-4						Automatic Ct		Automatic			Automatic	0.051114295													
71	C23	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
72	C24	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
73	D1	jimmy161209	FAM	Standard	32.959152			0.0010						Automatic Ct		Automatic			Automatic	0.051114295													
74	D2	jimmy161209	FAM	Standard	32.358196			0.0010						Automatic Ct		Automatic			Automatic	0.051114295													
75	D3	jimmy161209	FAM	Standard	32.896996			0.0010						Automatic Ct		Automatic			Automatic	0.051114295													
76	D4	jimmy161209	FAM	Unknown	Undetermined			0.0						Automatic Ct		Automatic			Automatic	0.051114295						true			true				
