plate_row,plate_col,template_name,template_rep,template_conc,template_type,plate_well,well_id
A,1,St1,1,1,standard,A1,1
A,2,St1,2,1,standard,A2,2
A,3,St1,3,1,standard,A3,3
A,4,227,1,,sample,A4,4
A,5,227,2,,sample,A5,5
A,6,227,3,,sample,A6,6
A,7,235,1,,sample,A7,7
A,8,235,2,,sample,A8,8
A,9,235,3,,sample,A9,9
A,10,342,1,,sample,A10,10
A,11,342,2,,sample,A11,11
A,12,342,3,,sample,A12,12
A,13,446,1,,sample,A13,13
A,14,446,2,,sample,A14,14
A,15,446,3,,sample,A15,15
A,16,490,1,,sample,A16,16
A,17,490,2,,sample,A17,17
A,18,490,3,,sample,A18,18
A,19,---,1,,sample,A19,19
A,20,---,2,,sample,A20,20
A,21,---,3,,sample,A21,21
A,22,064,1,,sample,A22,22
A,23,064,2,,sample,A23,23
A,24,064,3,,sample,A24,24
B,1,St2,1,0.1,standard,B1,25
B,2,St2,2,0.1,standard,B2,26
B,3,St2,3,0.1,standard,B3,27
B,4,228,1,,sample,B4,28
B,5,228,2,,sample,B5,29
B,6,228,3,,sample,B6,30
B,7,236,1,,sample,B7,31
B,8,236,2,,sample,B8,32
B,9,236,3,,sample,B9,33
B,10,255,1,,sample,B10,34
B,11,255,2,,sample,B11,35
B,12,255,3,,sample,B12,36
B,13,448,1,,sample,B13,37
B,14,448,2,,sample,B14,38
B,15,448,3,,sample,B15,39
B,16,491,1,,sample,B16,40
B,17,491,2,,sample,B17,41
B,18,491,3,,sample,B18,42
B,19,026,1,,sample,B19,43
B,20,026,2,,sample,B20,44
B,21,026,3,,sample,B21,45
B,22,067,1,,sample,B22,46
B,23,067,2,,sample,B23,47
B,24,067,3,,sample,B24,48
C,1,St3,1,0.01,standard,C1,49
C,2,St3,2,0.01,standard,C2,50
C,3,St3,3,0.01,standard,C3,51
C,4,229,1,,sample,C4,52
C,5,229,2,,sample,C5,53
C,6,229,3,,sample,C6,54
C,7,241,1,,sample,C7,55
C,8,241,2,,sample,C8,56
C,9,241,3,,sample,C9,57
C,10,256,1,,sample,C10,58
C,11,256,2,,sample,C11,59
C,12,256,3,,sample,C12,60
C,13,483,1,,sample,C13,61
C,14,483,2,,sample,C14,62
C,15,483,3,,sample,C15,63
C,16,492,1,,sample,C16,64
C,17,492,2,,sample,C17,65
C,18,492,3,,sample,C18,66
C,19,027,1,,sample,C19,67
C,20,027,2,,sample,C20,68
C,21,027,3,,sample,C21,69
C,22,091,1,,sample,C22,70
C,23,091,2,,sample,C23,71
C,24,091,3,,sample,C24,72
D,1,St4,1,0.001,standard,D1,73
D,2,St4,2,0.001,standard,D2,74
D,3,St4,3,0.001,standard,D3,75
D,4,230,1,,sample,D4,76
D,5,230,2,,sample,D5,77
D,6,230,3,,sample,D6,78
D,7,329,1,,sample,D7,79
D,8,329,2,,sample,D8,80
D,9,329,3,,sample,D9,81
D,10,345,1,,sample,D10,82
D,11,345,2,,sample,D11,83
D,12,345,3,,sample,D12,84
D,13,484,1,,sample,D13,85
D,14,484,2,,sample,D14,86
D,15,484,3,,sample,D15,87
D,16,589,1,,sample,D16,88
D,17,589,2,,sample,D17,89
D,18,589,3,,sample,D18,90
D,19,028,1,,sample,D19,91
D,20,028,2,,sample,D20,92
D,21,028,3,,sample,D21,93
D,22,092,1,,sample,D22,94
D,23,092,2,,sample,D23,95
D,24,092,3,,sample,D24,96
E,1,St5,1,1e-04,standard,E1,97
E,2,St5,2,1e-04,standard,E2,98
E,3,St5,3,1e-04,standard,E3,99
E,4,231,1,,sample,E4,100
E,5,231,2,,sample,E5,101
E,6,231,3,,sample,E6,102
E,7,341,1,,sample,E7,103
E,8,341,2,,sample,E8,104
E,9,341,3,,sample,E9,105
E,10,351,1,,sample,E10,106
E,11,351,2,,sample,E11,107
E,12,351,3,,sample,E12,108
E,13,486,1,,sample,E13,109
E,14,486,2,,sample,E14,110
E,15,486,3,,sample,E15,111
E,16,590,1,,sample,E16,112
E,17,590,2,,sample,E17,113
E,18,590,3,,sample,E18,114
E,19,057,1,,sample,E19,115
E,20,057,2,,sample,E20,116
E,21,057,3,,sample,E21,117
E,22,093,1,,sample,E22,118
E,23,093,2,,sample,E23,119
E,24,093,3,,sample,E24,120
F,1,St6,1,1e-05,standard,F1,121
F,2,St6,2,1e-05,standard,F2,122
F,3,St6,3,1e-05,standard,F3,123
F,4,232,1,,sample,F4,124
F,5,232,2,,sample,F5,125
F,6,232,3,,sample,F6,126
F,7,244,1,,sample,F7,127
F,8,244,2,,sample,F8,128
F,9,244,3,,sample,F9,129
F,10,358,1,,sample,F10,130
F,11,358,2,,sample,F11,131
F,12,358,3,,sample,F12,132
F,13,487,1,,sample,F13,133
F,14,487,2,,sample,F14,134
F,15,487,3,,sample,F15,135
F,16,598,1,,sample,F16,136
F,17,598,2,,sample,F17,137
F,18,598,3,,sample,F18,138
F,19,058,1,,sample,F19,139
F,20,058,2,,sample,F20,140
F,21,058,3,,sample,F21,141
F,22,094,1,,sample,F22,142
F,23,094,2,,sample,F23,143
F,24,094,3,,sample,F24,144
G,1,St7,1,1e-06,standard,G1,145
G,2,St7,2,1e-06,standard,G2,146
G,3,St7,3,1e-06,standard,G3,147
G,4,327,1,,sample,G4,148
G,5,327,2,,sample,G5,149
G,6,327,3,,sample,G6,150
G,7,245,1,,sample,G7,151
G,8,245,2,,sample,G8,152
G,9,245,3,,sample,G9,153
G,10,264,1,,sample,G10,154
G,11,264,2,,sample,G11,155
G,12,264,3,,sample,G12,156
G,13,488,1,,sample,G13,157
G,14,488,2,,sample,G14,158
G,15,488,3,,sample,G15,159
G,16,354,1,,sample,G16,160
G,17,354,2,,sample,G17,161
G,18,354,3,,sample,G18,162
G,19,062,1,,sample,G19,163
G,20,062,2,,sample,G20,164
G,21,062,3,,sample,G21,165
G,22,096,1,,sample,G22,166
G,23,096,2,,sample,G23,167
G,24,096,3,,sample,G24,168
H,1,St8,1,0,standard,H1,169
H,2,St8,2,0,standard,H2,170
H,3,St8,3,0,standard,H3,171
H,4,328,1,,sample,H4,172
H,5,328,2,,sample,H5,173
H,6,328,3,,sample,H6,174
H,7,253,1,,sample,H7,175
H,8,253,2,,sample,H8,176
H,9,253,3,,sample,H9,177
H,10,265,1,,sample,H10,178
H,11,265,2,,sample,H11,179
H,12,265,3,,sample,H12,180
H,13,489,1,,sample,H13,181
H,14,489,2,,sample,H14,182
H,15,489,3,,sample,H15,183
H,16,355,1,,sample,H16,184
H,17,355,2,,sample,H17,185
H,18,355,3,,sample,H18,186
H,19,063,1,,sample,H19,187
H,20,063,2,,sample,H20,188
H,21,063,3,,sample,H21,189
H,22,097,1,,sample,H22,190
H,23,097,2,,sample,H23,191
H,24,097,3,,sample,H24,192
I,1,356,1,,sample,I1,193
I,2,356,2,,sample,I2,194
I,3,356,3,,sample,I3,195
I,4,365,1,,sample,I4,196
I,5,365,2,,sample,I5,197
I,6,365,3,,sample,I6,198
I,7,432,1,,sample,I7,199
I,8,432,2,,sample,I8,200
I,9,432,3,,sample,I9,201
I,10,004,1,,sample,I10,202
I,11,004,2,,sample,I11,203
I,12,004,3,,sample,I12,204
I,13,493,1,,sample,I13,205
I,14,493,2,,sample,I14,206
I,15,493,3,,sample,I15,207
I,16,547,1,,sample,I16,208
I,17,547,2,,sample,I17,209
I,18,547,3,,sample,I18,210
I,19,571,1,,sample,I19,211
I,20,571,2,,sample,I20,212
