plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,std_1e+00,1,standard,1,A1
A,2,std_1e+00,1,standard,2,A2
A,3,std_1e+00,1,standard,3,A3
A,4,026,,sample,1,A4
A,5,026,,sample,2,A5
A,6,026,,sample,3,A6
A,7,228,,sample,1,A7
A,8,228,,sample,2,A8
A,9,228,,sample,3,A9
A,10,328,,sample,1,A10
A,11,328,,sample,2,A11
A,12,328,,sample,3,A12
A,13,421,,sample,1,A13
A,14,421,,sample,2,A14
A,15,421,,sample,3,A15
A,16,450,,sample,1,A16
A,17,450,,sample,2,A17
A,18,450,,sample,3,A18
A,19,495,,sample,1,A19
A,20,495,,sample,2,A20
A,21,495,,sample,3,A21
A,22,573,,sample,1,A22
A,23,573,,sample,2,A23
A,24,573,,sample,3,A24
B,1,std_1e-01,0.1,standard,1,B1
B,2,std_1e-01,0.1,standard,2,B2
B,3,std_1e-01,0.1,standard,3,B3
B,4,027,,sample,1,B4
B,5,027,,sample,2,B5
B,6,027,,sample,3,B6
B,7,229,,sample,1,B7
B,8,229,,sample,2,B8
B,9,229,,sample,3,B9
B,10,329,,sample,1,B10
B,11,329,,sample,2,B11
B,12,329,,sample,3,B12
B,13,422,,sample,1,B13
B,14,422,,sample,2,B14
B,15,422,,sample,3,B15
B,16,459,,sample,1,B16
B,17,459,,sample,2,B17
B,18,459,,sample,3,B18
B,19,496,,sample,1,B19
B,20,496,,sample,2,B20
B,21,496,,sample,3,B21
B,22,574,,sample,1,B22
B,23,574,,sample,2,B23
B,24,574,,sample,3,B24
C,1,std_1e-02,0.01,standard,1,C1
C,2,std_1e-02,0.01,standard,2,C2
C,3,std_1e-02,0.01,standard,3,C3
C,4,028,,sample,1,C4
C,5,028,,sample,2,C5
C,6,028,,sample,3,C6
C,7,230,,sample,1,C7
C,8,230,,sample,2,C8
C,9,230,,sample,3,C9
C,10,341,,sample,1,C10
C,11,341,,sample,2,C11
C,12,341,,sample,3,C12
C,13,423,,sample,1,C13
C,14,423,,sample,2,C14
C,15,423,,sample,3,C15
C,16,460,,sample,1,C16
C,17,460,,sample,2,C17
C,18,460,,sample,3,C18
C,19,497,,sample,1,C19
C,20,497,,sample,2,C20
C,21,497,,sample,3,C21
C,22,575,,sample,1,C22
C,23,575,,sample,2,C23
C,24,575,,sample,3,C24
D,1,std_1e-03,0.001,standard,1,D1
D,2,std_1e-03,0.001,standard,2,D2
D,3,std_1e-03,0.001,standard,3,D3
D,4,057,,sample,1,D4
D,5,057,,sample,2,D5
D,6,057,,sample,3,D6
D,7,231,,sample,1,D7
D,8,231,,sample,2,D8
D,9,231,,sample,3,D9
D,10,342,,sample,1,D10
D,11,342,,sample,2,D11
D,12,342,,sample,3,D12
D,13,424,,sample,1,D13
D,14,424,,sample,2,D14
D,15,424,,sample,3,D15
D,16,461,,sample,1,D16
D,17,461,,sample,2,D17
D,18,461,,sample,3,D18
D,19,498,,sample,1,D19
D,20,498,,sample,2,D20
D,21,498,,sample,3,D21
D,22,576,,sample,1,D22
D,23,576,,sample,2,D23
D,24,576,,sample,3,D24
E,1,std_1e-04,1e-04,standard,1,E1
E,2,std_1e-04,1e-04,standard,2,E2
E,3,std_1e-04,1e-04,standard,3,E3
E,4,058,,sample,1,E4
E,5,058,,sample,2,E5
E,6,058,,sample,3,E6
E,7,232,,sample,1,E7
E,8,232,,sample,2,E8
E,9,232,,sample,3,E9
E,10,345,,sample,1,E10
E,11,345,,sample,2,E11
E,12,345,,sample,3,E12
E,13,430,,sample,1,E13
E,14,430,,sample,2,E14
E,15,430,,sample,3,E15
E,16,482,,sample,1,E16
E,17,482,,sample,2,E17
E,18,482,,sample,3,E18
E,19,499,,sample,1,E19
E,20,499,,sample,2,E20
E,21,499,,sample,3,E21
E,22,577,,sample,1,E22
E,23,577,,sample,2,E23
E,24,577,,sample,3,E24
F,1,std_1e-05,1e-05,standard,1,F1
F,2,std_1e-05,1e-05,standard,2,F2
F,3,std_1e-05,1e-05,standard,3,F3
F,4,062,,sample,1,F4
F,5,062,,sample,2,F5
F,6,062,,sample,3,F6
F,7,235,,sample,1,F7
F,8,235,,sample,2,F8
F,9,235,,sample,3,F9
F,10,351,,sample,1,F10
F,11,351,,sample,2,F11
F,12,351,,sample,3,F12
F,13,431,,sample,1,F13
F,14,431,,sample,2,F14
F,15,431,,sample,3,F15
F,16,483,,sample,1,F16
F,17,483,,sample,2,F17
F,18,483,,sample,3,F18
F,19,500,,sample,1,F19
F,20,500,,sample,2,F20
F,21,500,,sample,3,F21
F,22,578,,sample,1,F22
F,23,578,,sample,2,F23
F,24,578,,sample,3,F24
G,1,std_1e-06,1e-06,standard,1,G1
G,2,std_1e-06,1e-06,standard,2,G2
G,3,std_1e-06,1e-06,standard,3,G3
G,4,063,,sample,1,G4
G,5,063,,sample,2,G5
G,6,063,,sample,3,G6
G,7,236,,sample,1,G7
G,8,236,,sample,2,G8
G,9,236,,sample,3,G9
G,10,354,,sample,1,G10
G,11,354,,sample,2,G11
G,12,354,,sample,3,G12
G,13,432,,sample,1,G13
G,14,432,,sample,2,G14
G,15,432,,sample,3,G15
G,16,484,,sample,1,G16
