SDS 2.4	AQ Results	1.0
Filename	CYAGCYTB-170829-B
PlateID	
Assay Type	Absolute Quantification
Run DateTime	8/29/17 6:27:37 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
1	A1	CYAG-F1	FAM	Standard	15.348445			1.0						Automatic Ct		Automatic			Automatic	0.05528502													
2	A2	CYAG-F1	FAM	Standard	15.730421			1.0						Automatic Ct		Automatic			Automatic	0.05528502													
3	A3	CYAG-F1	FAM	Standard	16.01824			1.0						Automatic Ct		Automatic			Automatic	0.05528502													
4	A4	CYAG-F1	FAM	Unknown	33.55984			2.2405256E-5						Automatic Ct		Automatic			Automatic	0.05528502													
5	A5	CYAG-F1	FAM	Unknown	33.19099			2.7795439E-5						Automatic Ct		Automatic			Automatic	0.05528502													
6	A6	CYAG-F1	FAM	Unknown	33.340855			2.5464453E-5						Automatic Ct		Automatic			Automatic	0.05528502													
7	A7	CYAG-F1	FAM	Unknown	32.715694			3.6695747E-5						Automatic Ct		Automatic			Automatic	0.05528502													
8	A8	CYAG-F1	FAM	Unknown	34.17677			1.5622769E-5						Automatic Ct		Automatic			Automatic	0.05528502													
9	A9	CYAG-F1	FAM	Unknown	33.759068			1.994258E-5						Automatic Ct		Automatic			Automatic	0.05528502													
25	B1	CYAG-F1	FAM	Standard	19.079643			0.1						Automatic Ct		Automatic			Automatic	0.05528502													
26	B2	CYAG-F1	FAM	Standard	18.91522			0.1						Automatic Ct		Automatic			Automatic	0.05528502													
27	B3	CYAG-F1	FAM	Standard	19.005194			0.1						Automatic Ct		Automatic			Automatic	0.05528502													
28	B4	CYAG-F1	FAM	Unknown	32.654366			3.8034923E-5						Automatic Ct		Automatic			Automatic	0.05528502													
29	B5	CYAG-F1	FAM	Unknown	32.03645			5.457896E-5						Automatic Ct		Automatic			Automatic	0.05528502													
