Position,Flag,Sample,Detector,Task,Ct,Quantity
A1,Passed,A1,kapa-illumina,Standard,7.533634,20
A2,Passed,A2,kapa-illumina,Standard,7.28122,20
A3,Passed,A3,kapa-illumina,Standard,8.015793,20
A4,Passed,A4,kapa-illumina,Unknown,11.441434,1.3711914
A5,Passed,A5,kapa-illumina,Unknown,12.292103,0.7800504
A6,Passed,A6,kapa-illumina,Unknown,11.952755,0.9768952
B1,Passed,B1,kapa-illumina,Standard,10.319498,2
B2,Passed,B2,kapa-illumina,Standard,10.885219,2
B3,Passed,B3,kapa-illumina,Standard,10.537005,2
B4,Passed,B4,kapa-illumina,Unknown,13.162505,0.43799022
B5,Passed,B5,kapa-illumina,Unknown,14.330881,0.20183468
B6,Passed,B6,kapa-illumina,Unknown,13.381848,0.37870234
C1,Passed,C1,kapa-illumina,Standard,13.727527,0.2
C2,Passed,C2,kapa-illumina,Standard,14.443916,0.2
C3,Passed,C3,kapa-illumina,Standard,14.426969,0.2
C4,Passed,C4,kapa-illumina,Unknown,15.384479,0.10036471
C5,Passed,C5,kapa-illumina,Unknown,14.647432,0.16361964
C6,Passed,C6,kapa-illumina,Unknown,18.616285,0.0117729725
D1,Passed,D1,kapa-illumina,Standard,17.84403,0.02
D2,Passed,D2,kapa-illumina,Standard,17.844875,0.02
D3,Passed,D3,kapa-illumina,Standard,18.462267,0.02
D4,Passed,D4,kapa-illumina,Unknown,16.139606,0.060830235
D5,Passed,D5,kapa-illumina,Unknown,15.951082,0.06893037
D6,Passed,D6,kapa-illumina,Unknown,16.998026,0.034428023
E1,Passed,E1,kapa-illumina,Standard,21.116325,0.002
E2,Passed,E2,kapa-illumina,Standard,21.399094,0.002
E3,Passed,E3,kapa-illumina,Standard,21.602148,0.002
F1,Passed,F1,kapa-illumina,Standard,24.26012,2e-04
F2,Passed,F2,kapa-illumina,Standard,24.730738,2e-04
F3,Passed,F3,kapa-illumina,Standard,25.025574,2e-04
G1,Passed,G1,kapa-illumina,NTC,33.561047,5.8492134e-07
G2,Passed,G2,kapa-illumina,NTC,33.95406,4.5073136e-07
G3,Flagged,G3,kapa-illumina,NTC,,0
