qpcr_date,Position_raw,Sample,Position,Detector,Task,Ct,Ct Median,Quantity,Flag,Comment.2
20180704,A1,A1,A1,ch1269x,Unknown,Undetermined,,0,,
20180704,,,A1,chi1269y,Standard,24.351776,,0.17,,
20180704,A2,A2,A2,ch1269x,Unknown,Undetermined,,0,,
20180704,,,A2,chi1269y,Standard,24.064745,,0.17,,
20180704,A3,A3,A3,ch1269x,Unknown,Undetermined,,0,,
20180704,,,A3,chi1269y,Standard,23.798101,,0.17,,
20180704,A4,A4,A4,ch1269x,Standard,22.553465,,1.54E-01,,
20180704,,,A4,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A5,A5,A5,ch1269x,Standard,22.685396,,0.154,,
20180704,,,A5,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A6,A6,A6,ch1269x,Standard,22.430208,,1.54E-01,,
20180704,,,A6,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A7,A7,A7,ch1269x,Unknown,37.270645,,2.91E-06,,
20180704,,,A7,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A8,A8,A8,ch1269x,Unknown,37.8712,,1.86E-06,,
20180704,,,A8,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A9,A9,A9,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,A9,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A10,A10,A10,ch1269x,Unknown,34.831093,,1.79E-05,,
20180704,,,A10,chi1269y,Unknown,34.246613,,1.78E-04,,
20180704,A11,A11,A11,ch1269x,Unknown,34.6601,,2.03E-05,,
20180704,,,A11,chi1269y,Unknown,34.935005,,1.12E-04,,
20180704,A12,A12,A12,ch1269x,Unknown,33.983387,,3.36E-05,,
20180704,,,A12,chi1269y,Unknown,33.707058,,2.56E-04,,
20180704,A13,A13,A13,ch1269x,Unknown,34.8535,,1.76E-05,,
20180704,,,A13,chi1269y,Unknown,37.60673,,1.85E-05,,
20180704,A14,A14,A14,ch1269x,Unknown,35.272533,,1.29E-05,,
20180704,,,A14,chi1269y,Unknown,36.778168,,3.23E-05,,
20180704,A15,A15,A15,ch1269x,Unknown,33.776646,,3.92E-05,,
20180704,,,A15,chi1269y,Unknown,37.41252,,2.11E-05,,
20180704,A16,A16,A16,ch1269x,Unknown,33.594437,,4.50E-05,,
20180704,,,A16,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A17,A17,A17,ch1269x,Unknown,35.6798,,9.51E-06,,
20180704,,,A17,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,A18,A18,A18,ch1269x,Unknown,35.40595,,1.17E-05,,
20180704,,,A18,chi1269y,Unknown,Undetermined,,0,,
20180704,A19,A19,A19,ch1269x,Unknown,33.24309,,5.84E-05,,
20180704,,,A19,chi1269y,Unknown,36.436638,,4.07E-05,,
20180704,A20,A20,A20,ch1269x,Unknown,33.492767,,4.85E-05,,
20180704,,,A20,chi1269y,Unknown,33.298935,,3.36E-04,,
20180704,A21,A21,A21,ch1269x,Unknown,33.093685,,6.53E-05,,
20180704,,,A21,chi1269y,Unknown,33.85929,,2.31E-04,,
20180704,A22,A22,A22,ch1269x,Unknown,36.298405,,6.00E-06,,
20180704,,,A22,chi1269y,Unknown,34.969395,,1.09E-04,,
20180704,A23,A23,A23,ch1269x,Unknown,35.572582,,1.03E-05,,
20180704,,,A23,chi1269y,Unknown,35.36232,,8.38E-05,,
20180704,A24,A24,A24,ch1269x,Unknown,34.868237,,1.74E-05,,
20180704,,,A24,chi1269y,Unknown,33.255657,,3.46E-04,,
20180704,B1,B1,B1,ch1269x,Unknown,Undetermined,,0,,
20180704,,,B1,chi1269y,Standard,27.619776,,0.017,,
20180704,B2,B2,B2,ch1269x,Unknown,Undetermined,,0,,
20180704,,,B2,chi1269y,Standard,27.636818,,0.017,,
20180704,B3,B3,B3,ch1269x,Unknown,Undetermined,,0,,
20180704,,,B3,chi1269y,Standard,27.198084,,0.017,,
20180704,B4,B4,B4,ch1269x,Standard,26.075083,,1.54E-02,,
20180704,,,B4,chi1269y,Unknown,Undetermined,,0,,
20180704,B5,B5,B5,ch1269x,Standard,25.814924,,0.0154,,
20180704,,,B5,chi1269y,Unknown,Undetermined,,0,,
20180704,B6,B6,B6,ch1269x,Standard,25.805191,,1.54E-02,,
20180704,,,B6,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,B7,B7,B7,ch1269x,Unknown,35.193085,,1.37E-05,,
20180704,,,B7,chi1269y,Unknown,37.12772,,2.55E-05,,
20180704,B8,B8,B8,ch1269x,Unknown,34.81699,,1.81E-05,,
20180704,,,B8,chi1269y,Unknown,34.08369,,1.98E-04,,
20180704,B9,B9,B9,ch1269x,Unknown,34.12779,,3.02E-05,,
20180704,,,B9,chi1269y,Unknown,36.444565,,4.05E-05,,
20180704,B10,B10,B10,ch1269x,Unknown,35.568535,,1.03E-05,,
20180704,,,B10,chi1269y,Unknown,32.710407,,5.00E-04,,
20180704,B11,B11,B11,ch1269x,Unknown,35.073,,1.49E-05,,
20180704,,,B11,chi1269y,Unknown,33.24705,,3.48E-04,,
20180704,B12,B12,B12,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,B12,chi1269y,Unknown,32.962452,,4.22E-04,,
20180704,B13,B13,B13,ch1269x,Unknown,Undetermined,,0,,
20180704,,,B13,chi1269y,Unknown,Undetermined,,0,,
20180704,B14,B14,B14,ch1269x,Unknown,35.196716,,1.36E-05,,
20180704,,,B14,chi1269y,Unknown,37.47683,,2.02E-05,,
20180704,B15,B15,B15,ch1269x,Unknown,34.316154,,2.63E-05,,
20180704,,,B15,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,B16,B16,B16,ch1269x,Unknown,35.340508,,1.22E-05,,
20180704,,,B16,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,B17,B17,B17,ch1269x,Unknown,35.184383,,1.38E-05,,
20180704,,,B17,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,B18,B18,B18,ch1269x,Unknown,34.38276,,2.50E-05,,
20180704,,,B18,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,B19,B19,B19,ch1269x,Unknown,34.271015,,2.72E-05,,
20180704,,,B19,chi1269y,Unknown,34.281414,,1.74E-04,,
20180704,B20,B20,B20,ch1269x,Unknown,33.840176,,3.74E-05,,
20180704,,,B20,chi1269y,Unknown,33.39308,,3.16E-04,,
20180704,B21,B21,B21,ch1269x,Unknown,32.952164,,7.25E-05,,
20180704,,,B21,chi1269y,Unknown,33.271564,,3.43E-04,,
20180704,B22,B22,B22,ch1269x,Unknown,35.360264,,1.21E-05,,
20180704,,,B22,chi1269y,Unknown,34.40447,,1.60E-04,,
20180704,B23,B23,B23,ch1269x,Unknown,34.2882,,2.68E-05,,
20180704,,,B23,chi1269y,Unknown,35.306904,,8.70E-05,,
20180704,B24,B24,B24,ch1269x,Unknown,34.353065,,2.56E-05,,
20180704,,,B24,chi1269y,Unknown,34.21493,,1.82E-04,,
20180704,C1,C1,C1,ch1269x,Unknown,Undetermined,,0,,
20180704,,,C1,chi1269y,Standard,30.970184,,0.0017,,
20180704,C2,C2,C2,ch1269x,Unknown,Undetermined,,0,,
20180704,,,C2,chi1269y,Standard,30.692926,,0.0017,,
20180704,C3,C3,C3,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,C3,chi1269y,Standard,30.79233,,1.70E-03,,
20180704,C4,C4,C4,ch1269x,Standard,28.623285,,0.00154,,
20180704,,,C4,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C5,C5,C5,ch1269x,Standard,28.60171,,0.00154,,
20180704,,,C5,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C6,C6,C6,ch1269x,Standard,29.15061,,1.54E-03,,
20180704,,,C6,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C7,C7,C7,ch1269x,Unknown,36.746334,,4.30E-06,,
20180704,,,C7,chi1269y,Unknown,Undetermined,,0,,
20180704,C8,C8,C8,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,C8,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C9,C9,C9,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,C9,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C10,C10,C10,ch1269x,Unknown,Undetermined,,0.00E+00,,
20180704,,,C10,chi1269y,Unknown,Undetermined,,0.00E+00,,
20180704,C11,C11,C11,ch1269x,Unknown,36.34597,,5.79E-06,,
20180704,,,C11,chi1269y,Unknown,37.255478,,2.34E-05,,
20180704,C12,C12,C12,ch1269x,Unknown,35.24308,,1.32E-05,,
20180704,,,C12,chi1269y,Unknown,35.269604,,8.92E-05,,
20180704,C13,C13,C13,ch1269x,Unknown,34.308872,,2.64E-05,,
20180704,,,C13,chi1269y,Unknown,Undetermined,,0,,
20180704,C14,C14,C14,ch1269x,Unknown,34.318035,,2.62E-05,,
20180704,,,C14,chi1269y,Unknown,36.502266,,3.89E-05,,
20180704,C15,C15,C15,ch1269x,Unknown,33.232758,,5.88E-05,,
20180704,,,C15,chi1269y,Unknown,36.136806,,4.98E-05,,
20180704,C16,C16,C16,ch1269x,Unknown,32.820797,,8.00E-05,,
20180704,,,C16,chi1269y,Unknown,35.40207,,8.16E-05,,
20180704,C17,C17,C17,ch1269x,Unknown,32.875324,,7.68E-05,,
20180704,,,C17,chi1269y,Unknown,36.69268,,3.42E-05,,
20180704,C18,C18,C18,ch1269x,Unknown,30.84752,,3.48E-04,,
20180704,,,C18,chi1269y,Unknown,33.569386,,2.80E-04,,
20180704,C19,C19,C19,ch1269x,Unknown,36.05754,,7.18E-06,,
20180704,,,C19,chi1269y,Unknown,35.05381,,1.03E-04,,
20180704,C20,C20,C20,ch1269x,Unknown,35.34228,,1.22E-05,,
20180704,,,C20,chi1269y,Unknown,34.942924,,1.11E-04,,
20180704,C21,C21,C21,ch1269x,Unknown,33.630848,,4.37E-05,,
20180704,,,C21,chi1269y,Unknown,34.084507,,1.98E-04,,
20180704,C22,C22,C22,ch1269x,Unknown,33.808514,,3.83E-05,,
20180704,,,C22,chi1269y,Unknown,33.67709,,2.61E-04,,
20180704,C23,C23,C23,ch1269x,Unknown,34.039417,,3.23E-05,,
20180704,,,C23,chi1269y,Unknown,34.758408,,1.26E-04,,
20180704,C24,C24,C24,ch1269x,Unknown,33.092884,,6.53E-05,,
20180704,,,C24,chi1269y,Unknown,33.11614,,3.80E-04,,
