Run ID,Assay Name,Test Name,Test Date,Sample.Name,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU,replicate
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052917,10/12/2016_05:29:17_AM,AMCP,Out of range,ug/mL,Out of range,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,129.05,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052903,10/12/2016_05:29:03_AM,Chinook2,0.162,ug/mL,6.48,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,718.81,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052849,10/12/2016_05:28:49_AM,POWI,Out of range,ug/mL,Out of range,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,137.55,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052833,10/12/2016_05:28:33_AM,SKA007,0.983,ug/mL,39.3,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,3535.28,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052817,10/12/2016_05:28:17_AM,Chinook3,0.223,ug/mL,8.92,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,939.85,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052805,10/12/2016_05:28:05_AM,SKA113,0.933,ug/mL,37.3,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,3374.04,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052753,10/12/2016_05:27:53_AM,Chinook1,0.0682,ug/mL,2.73,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,379.83,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052741,10/12/2016_05:27:41_AM,SKA091,0.272,ug/mL,10.9,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,1112.82,,2
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052722,10/12/2016_05:27:22_AM,AMCP,Out of range,ug/mL,Out of range,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,131.24,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052707,10/12/2016_05:27:07_AM,POWI,Out of range,ug/mL,Out of range,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,139.59,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052654,10/12/2016_05:26:54_AM,SKA113,0.954,ug/mL,38.2,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,3441.21,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052636,10/12/2016_05:26:36_AM,SKA091,0.281,ug/mL,11.2,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,1143.70,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052618,10/12/2016_05:26:18_AM,SKA007,1.03,ug/mL,41.2,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,3673.51,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052543,10/12/2016_05:25:43_AM,Chinook3,0.234,ug/mL,9.36,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,979.28,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052522,10/12/2016_05:25:22_AM,Chinook2,0.171,ug/mL,6.84,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,751.13,,1
2016-12-10_052237,dsDNA_Broad_range,Sample_161210-052438,10/12/2016_05:24:38_AM,Chinook1,0.0732,ug/mL,2.93,ng/uL,5,40.0,130.43,14218.01,,Blue,Green,398.04,,1
