Run ID,Assay Name,Test Name,Test Date,Qubit® tube conc.,Units,Original sample conc.,Units,Sample Volume (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU,Sample.Name
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010954,21/07/2017 01:09:54 AM,36.2,ng/mL,3.62,ng/µL,2,100,30.46,13825.15,,Blue,Green,1045.25,,SKA-118 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010944,21/07/2017 01:09:44 AM,30.3,ng/mL,3.03,ng/µL,2,100,30.46,13825.15,,Blue,Green,875.91,,SKA-115 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010933,21/07/2017 01:09:33 AM,36.9,ng/mL,3.69,ng/µL,2,100,30.46,13825.15,,Blue,Green,1063.28,,SKA-114 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010922,21/07/2017 01:09:22 AM,37.1,ng/mL,3.71,ng/µL,2,100,30.46,13825.15,,Blue,Green,1068.77,,SKA-113 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010913,21/07/2017 01:09:13 AM,60.9,ng/mL,6.09,ng/µL,2,100,30.46,13825.15,,Blue,Green,1749.04,,SKA-099 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010902,21/07/2017 01:09:02 AM,40.4,ng/mL,4.04,ng/µL,2,100,30.46,13825.15,,Blue,Green,1164.92,,SKA-098 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010851,21/07/2017 01:08:51 AM,60.3,ng/mL,6.03,ng/µL,2,100,30.46,13825.15,,Blue,Green,1731.71,,SKA-097 1:10 C
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010838,21/07/2017 01:08:38 AM,58.7,ng/mL,5.87,ng/µL,2,100,30.46,13825.15,,Blue,Green,1686.5,,SKA-097 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010827,21/07/2017 01:08:27 AM,57.5,ng/mL,5.75,ng/µL,2,100,30.46,13825.15,,Blue,Green,1651.05,,SKA-097 1:10 A
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010816,21/07/2017 01:08:16 AM,55.9,ng/mL,5.59,ng/µL,2,100,30.46,13825.15,,Blue,Green,1606.47,,SKA-096 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010806,21/07/2017 01:08:06 AM,95.2,ng/mL,9.52,ng/µL,2,100,30.46,13825.15,,Blue,Green,2724.95,,SKA-094 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010755,21/07/2017 01:07:55 AM,90.2,ng/mL,9.02,ng/µL,2,100,30.46,13825.15,,Blue,Green,2584.25,,SKA-093 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010744,21/07/2017 01:07:44 AM,84.3,ng/mL,8.43,ng/µL,2,100,30.46,13825.15,,Blue,Green,2414.9,,SKA-092 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010730,21/07/2017 01:07:30 AM,87.3,ng/mL,8.73,ng/µL,2,100,30.46,13825.15,,Blue,Green,2501.19,,SKA-091 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010720,21/07/2017 01:07:20 AM,128,ng/mL,12.8,ng/µL,2,100,30.46,13825.15,,Blue,Green,3667.58,,SKA-069 1:10 C
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010711,21/07/2017 01:07:11 AM,125,ng/mL,12.5,ng/µL,2,100,30.46,13825.15,,Blue,Green,3562.48,,SKA-069 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010703,21/07/2017 01:07:03 AM,136,ng/mL,13.6,ng/µL,2,100,30.46,13825.15,,Blue,Green,3895.23,,SKA-069 1:10 A
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010654,21/07/2017 01:06:54 AM,126,ng/mL,12.6,ng/µL,2,100,30.46,13825.15,,Blue,Green,3606.18,,SKA-064 1:10 B
2017-07-21_010254,dsDNA High sensitivity,Sample_#170721-010645,21/07/2017 01:06:45 AM,119,ng/mL,11.9,ng/µL,2,100,30.46,13825.15,,Blue,Green,3411.53,,SKA-063 1:10 B
