"Run ID","Assay Name","Test Name","Sample_Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062729","SKA-598-CLEAN1-3","06/09/2017 06:27:29 AM","396","ng/mL","39.6","ng/µL","2","100","28.03","11964.04",,"Blue","Green","9570.03",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062721","SKA-598-CLEAN1-2","06/09/2017 06:27:21 AM","160","ng/mL","16.0","ng/µL","2","100","28.03","11964.04",,"Blue","Green","3959.77",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062712","SKA-598-CLEAN1-1","06/09/2017 06:27:12 AM","154","ng/mL","15.4","ng/µL","2","100","28.03","11964.04",,"Blue","Green","3806.80",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062703","SKA-595-CLEAN1-3","06/09/2017 06:27:03 AM","2.83","ng/mL","0.283","ng/µL","2","100","28.03","11964.04",,"Blue","Green","93.40",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062653","SKA-595-CLEAN1-2","06/09/2017 06:26:53 AM","0.95","ng/mL","0.0950","ng/µL","2","100","28.03","11964.04",,"Blue","Green","49.46",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062645","SKA-595-CLEAN1-1","06/09/2017 06:26:45 AM","1.99","ng/mL","0.199","ng/µL","2","100","28.03","11964.04",,"Blue","Green","73.73",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062637","SKA-094-CLEAN1-3","06/09/2017 06:26:37 AM","9.23","ng/mL","0.923","ng/µL","2","100","28.03","11964.04",,"Blue","Green","246.48",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062628","SKA-094-CLEAN1-2","06/09/2017 06:26:28 AM","6.04","ng/mL","0.604","ng/µL","2","100","28.03","11964.04",,"Blue","Green","169.79",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062619","SKA-094-CLEAN1-1","06/09/2017 06:26:19 AM","6.47","ng/mL","0.647","ng/µL","2","100","28.03","11964.04",,"Blue","Green","180.23",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062610","SKA-093-CLEAN1-3","06/09/2017 06:26:10 AM","2.48","ng/mL","0.248","ng/µL","2","100","28.03","11964.04",,"Blue","Green","85.20",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062559","SKA-093-CLEAN1-2","06/09/2017 06:25:59 AM","8.33","ng/mL","0.833","ng/µL","2","100","28.03","11964.04",,"Blue","Green","224.89",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062551","SKA-093-CLEAN1-1","06/09/2017 06:25:52 AM","3.56","ng/mL","0.356","ng/µL","2","100","28.03","11964.04",,"Blue","Green","110.88",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062544","SKA-092-CLEAN1-3","06/09/2017 06:25:44 AM","4.09","ng/mL","0.409","ng/µL","2","100","28.03","11964.04",,"Blue","Green","123.27",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062536","SKA-092-CLEAN1-2","06/09/2017 06:25:36 AM","6.20","ng/mL","0.620","ng/µL","2","100","28.03","11964.04",,"Blue","Green","173.81",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062527","SKA-092-CLEAN1-1","06/09/2017 06:25:27 AM","2.07","ng/mL","0.207","ng/µL","2","100","28.03","11964.04",,"Blue","Green","75.66",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062517","SKA-028-CLEAN1-3","06/09/2017 06:25:17 AM","2.31","ng/mL","0.231","ng/µL","2","100","28.03","11964.04",,"Blue","Green","81.29",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062508","SKA-028-CLEAN1-2","06/09/2017 06:25:08 AM","15.2","ng/mL","1.52","ng/µL","2","100","28.03","11964.04",,"Blue","Green","391.45",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062458","SKA-028-CLEAN1-1","06/09/2017 06:24:58 AM","2.69","ng/mL","0.269","ng/µL","2","100","28.03","11964.04",,"Blue","Green","90.14",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062449","SKA-027-CLEAN1-3","06/09/2017 06:24:49 AM","2.09","ng/mL","0.209","ng/µL","2","100","28.03","11964.04",,"Blue","Green","76.05",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062441","SKA-027-CLEAN1-2","06/09/2017 06:24:41 AM","4.11","ng/mL","0.411","ng/µL","2","100","28.03","11964.04",,"Blue","Green","123.84",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062433","SKA-027-CLEAN1-1","06/09/2017 06:24:33 AM","5.01","ng/mL","0.501","ng/µL","2","100","28.03","11964.04",,"Blue","Green","145.37",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062423","SKA-026-CLEAN1-3","06/09/2017 06:24:23 AM","3.77","ng/mL","0.377","ng/µL","2","100","28.03","11964.04",,"Blue","Green","115.75",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062414","SKA-026-CLEAN1-2","06/09/2017 06:24:14 AM","1.93","ng/mL","0.193","ng/µL","2","100","28.03","11964.04",,"Blue","Green","72.47",
"2017-09-06_062358","dsDNA High sensitivity","Sample_#170906-062405","SKA-026-CLEAN1-1","06/09/2017 06:24:05 AM","4.00","ng/mL","0.400","ng/µL","2","100","28.03","11964.04",,"Blue","Green","121.31",
