"Run ID","Assay Name","Test Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU",Sample_Name
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134935","2018/02/12 13:49:35","2.85","ng/mL","0.570","ng/µL","1","200","33.59","14701.13",,"Blue","Green","114.68",,358-C
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134928","2018/02/12 13:49:28","2.76","ng/mL","0.552","ng/µL","1","200","33.59","14701.13",,"Blue","Green","112.16",,358-B
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134920","2018/02/12 13:49:20","2.53","ng/mL","0.506","ng/µL","1","200","33.59","14701.13",,"Blue","Green","105.37",,358-A
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134912","2018/02/12 13:49:12","2.40","ng/mL","0.480","ng/µL","1","200","33.59","14701.13",,"Blue","Green","101.69",,069-C
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134904","2018/02/12 13:49:04","3.05","ng/mL","0.610","ng/µL","1","200","33.59","14701.13",,"Blue","Green","120.46",,069-B
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134858","2018/02/12 13:48:58","2.52","ng/mL","0.504","ng/µL","1","200","33.59","14701.13",,"Blue","Green","105.14",,069-A
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134850","2018/02/12 13:48:50","2.61","ng/mL","0.522","ng/µL","1","200","33.59","14701.13",,"Blue","Green","107.74",,064-C
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134842","2018/02/12 13:48:42","2.75","ng/mL","0.550","ng/µL","1","200","33.59","14701.13",,"Blue","Green","111.62",,064-B
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134834","2018/02/12 13:48:34","2.36","ng/mL","0.472","ng/µL","1","200","33.59","14701.13",,"Blue","Green","100.36",,064-A
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134827","2018/02/12 13:48:27","1.98","ng/mL","0.396","ng/µL","1","200","33.59","14701.13",,"Blue","Green","89.43",,063-C
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134820","2018/02/12 13:48:20","2.36","ng/mL","0.472","ng/µL","1","200","33.59","14701.13",,"Blue","Green","100.33",,063-B
"2018-02-12_134746","dsDNA High sensitivity","Sample_180212-134812","2018/02/12 13:48:12","2.85","ng/mL","0.570","ng/µL","1","200","33.59","14701.13",,"Blue","Green","114.69",,063-A
