Date,Time,Kit,Project,Sample,Vol_uL,Person,note
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,001,50,Abi Wells,NA
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,002,50,Abi Wells,NA
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,003,50,Abi Wells,NA
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,004,50,Abi Wells,NA
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,025,50,Abi Wells,NA
2017-07-07,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,026,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,007,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,008,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,009,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,010,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,027,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,028,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,057,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,058,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,062,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,063,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,064,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,069,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,091,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,092,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,093,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,094,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,096,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,097,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,098,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,099,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,113,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,114,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,115,50,Abi Wells,NA
2017-07-11,16:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,118,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,241,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,244,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,245,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,356,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,357,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,358,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,359,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,360,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,421,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,422,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,423,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,424,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,459,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,460,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,461,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,547,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,548,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,549,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,585,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,586,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,587,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,588,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,589,50,Abi Wells,NA
2017-07-21,NA,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,590,50,Abi Wells,NA
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,227,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,228,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,229,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,230,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,231,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,232,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,235,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,236,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,253,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,255,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,256,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,264,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,265,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,327,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,328,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,329,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,341,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,342,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,345,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,351,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,354,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
2017-07-27,15:30:00,Zymo Onestep PCR Inhibitor Removal Kit (D6030),SKA,355,100,Jimmy O'Donnell,spun at 6.2g instead of 8 during both column prep and cleanup
