date_extracted,extractor,lab,project,source_label,extraction_label,sample_type,extraction_method,vol_buffer_orig,vol_buffer_remain,vol_PC,sample_destroyed,shaken_incubation,vol_supernatant1,vol_supernatant2,vol_supernatant3,visible_pellet,location_DNA,freezer,shelf,box,notes
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,018,018,environmental,PhenolChloroform,NA,0,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,024,024,environmental,PhenolChloroform,NA,0,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,106,106,environmental,PhenolChloroform,NA,300,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,127,127,environmental,PhenolChloroform,NA,300,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,JO-AMCP-MOO-103,AMCP-MOO-103,tissue-gill,PhenolChloroform,NA,0,NA,FALSE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-05,JimmyODonnell,NWFSC_CleanLab,Skagit,NA,noDNA-161005,noDNA,PhenolChloroform,NA,0,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,032,032,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,039,039,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,045,045,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,051,051,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,057,057,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,063,063,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,070,070,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,076,076,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,085,085,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,090,090,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,100,100,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
2016-10-06,JimmyODonnell,NWFSC_CleanLab,Skagit,102,102,environmental,PhenolChloroform,NA,400,NA,TRUE,TRUE,NA,NA,NA,NA,NOAA Montlake,FZ02 Snowcone,NA,161005,NA
