date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,1,NA,1,NA,Jimmy O'Donnell,morning,NA,001,filtered on RV Minnow,1.0,NA
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,16,NA,2,NA,Jimmy O'Donnell,morning,NA,002,filtered on RV Minnow,1.0,NA
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,17,NA,3,NA,Jimmy O'Donnell,morning,NA,003,filtered on RV Minnow,1.0,NA
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,3,NA,4,NA,Jimmy O'Donnell,morning,NA,004,filtered on RV Minnow,1.0,NA
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,6,NA,5,NA,Jimmy O'Donnell,morning,NA,005,filtered on RV Minnow,1.0,NA
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,11,NA,6,NA,Jimmy O'Donnell,morning,NA,006,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,13,NA,1,NA,Jimmy O'Donnell,morning,NA,007,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,18,NA,2,NA,Jimmy O'Donnell,morning,NA,008,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,9,NA,3,NA,Jimmy O'Donnell,morning,NA,009,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,10,NA,4,NA,Jimmy O'Donnell,morning,NA,010,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,14,NA,5,NA,Jimmy O'Donnell,morning,NA,011,filtered on RV Minnow,1.0,NA
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,7,NA,6,NA,Jimmy O'Donnell,morning,NA,012,filtered on RV Minnow,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,15,NA,1,NA,Jimmy O'Donnell,afternoon,NA,013,NA,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,2,NA,2,NA,Jimmy O'Donnell,afternoon,NA,014,NA,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,4,NA,3,NA,Jimmy O'Donnell,afternoon,NA,015,NA,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,48,NA,4,NA,Jimmy O'Donnell,afternoon,NA,016,NA,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,5,NA,5,NA,Jimmy O'Donnell,afternoon,NA,017,NA,1.0,NA
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,36,NA,6,NA,Jimmy O'Donnell,afternoon,NA,018,NA,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,34,NA,1,NA,Jimmy O'Donnell,afternoon,NA,019,eggs visible in sample while filtering,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,28,NA,2,NA,Jimmy O'Donnell,afternoon,NA,020,eggs visible in sample while filtering,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,24,NA,3,NA,Jimmy O'Donnell,afternoon,NA,021,eggs visible in sample while filtering,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,30,NA,4,NA,Jimmy O'Donnell,afternoon,NA,022,eggs visible in sample while filtering,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,29,NA,5,NA,Jimmy O'Donnell,afternoon,NA,023,eggs visible in sample while filtering,1.0,NA
2016-05-31,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,27,NA,7,NA,Jimmy O'Donnell,afternoon,NA,024,eggs visible in sample while filtering,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,45,NA,1,NA,Jimmy O'Donnell,afternoon,NA,025,NA,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,21,NA,2,NA,Jimmy O'Donnell,afternoon,NA,026,NA,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,33,NA,3,NA,Jimmy O'Donnell,afternoon,NA,027,NA,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,26,NA,4,NA,Jimmy O'Donnell,afternoon,NA,028,NA,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,37,NA,5,NA,Jimmy O'Donnell,afternoon,NA,029,NA,1.0,NA
2016-05-31,1325,water-marine,Mariners Bluff,Jimmy O'Donnell,47,NA,6,NA,Jimmy O'Donnell,afternoon,NA,030,NA,1.0,NA
2016-05-31,1700,water-deionized,NA,Jimmy O'Donnell,deionized water,NA,1,NA,Jimmy O'Donnell,afternoon,NA,031,NA,1.0,NA
2016-06-07,0641,water-marine,Browns Slough Out Side,Jimmy O'Donnell,42,high water,1,NA,Jimmy O'Donnell,0830,NA,032,filtered at site,1.4,NA
2016-06-07,0643,water-marine,Browns Slough Out Side,Jimmy O'Donnell,33,high water,2,NA,Jimmy O'Donnell,0858,NA,033,filtered at site,1.4,NA
2016-06-07,0645,water-marine,Browns Slough Out Side,Jimmy O'Donnell,40,high water,3,NA,Jimmy O'Donnell,0918,NA,034,filtered at site,1.4,NA
2016-06-07,0647,water-marine,Browns Slough Out Side,Jimmy O'Donnell,48,high water,4,NA,Jimmy O'Donnell,1000,NA,035,filtered at site,1.4,NA
2016-06-07,0649,water-marine,Browns Slough Out Side,Jimmy O'Donnell,5,high water,5,NA,Jimmy O'Donnell,1110,NA,036,filtered at site,1.4,NA
2016-06-07,0651,water-marine,Browns Slough Out Side,Jimmy O'Donnell,34,high water,6,NA,Jimmy O'Donnell,1131,NA,037,filtered at site,1.4,NA
2016-06-07,0808,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,27,high water,1,NA,Jimmy O'Donnell,1510,NA,039,NA,1.4,NA
2016-06-07,0809,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,11,high water,2,NA,Jimmy O'Donnell,1510,NA,040,NA,1.4,NA
2016-06-07,0810,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,1,high water,3,NA,Jimmy O'Donnell,1510,NA,041,NA,1.4,NA
2016-06-07,0811,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,13,high water,4,NA,Jimmy O'Donnell,1530,NA,042,NA,1.4,NA
2016-06-07,0813,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,10,high water,5,NA,Jimmy O'Donnell,1530,NA,043,NA,1.4,NA
2016-06-07,0815,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,37,high water,6,NA,Jimmy O'Donnell,1530,NA,044,NA,1.4,NA
2016-06-07,0940,water-marine,Browns Slough Out Side,Jimmy O'Donnell,31,low water,1,NA,Jimmy O'Donnell,1600,NA,045,NA,1.4,NA
2016-06-07,0941,water-marine,Browns Slough Out Side,Jimmy O'Donnell,39,low water,2,NA,Jimmy O'Donnell,1600,NA,046,NA,1.4,NA
2016-06-07,0944,water-marine,Browns Slough Out Side,Jimmy O'Donnell,19,low water,3,NA,Jimmy O'Donnell,1615,NA,047,NA,1.4,NA
2016-06-07,0945,water-marine,Browns Slough Out Side,Jimmy O'Donnell,20,low water,4,NA,Jimmy O'Donnell,1622,NA,048,NA,1.4,NA
2016-06-07,0950,water-marine,Browns Slough Out Side,Jimmy O'Donnell,30,low water,5,NA,Jimmy O'Donnell,1631,NA,049,NA,1.4,NA
2016-06-07,0951,water-marine,Browns Slough Out Side,Jimmy O'Donnell,25,low water,6,NA,Jimmy O'Donnell,1633,NA,050,NA,1.4,NA
2016-06-07,1200,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,35,low water,1,NA,Jimmy O'Donnell,NA,NA,051,NA,1.4,NA
2016-06-07,1201,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,41,low water,2,NA,Jimmy O'Donnell,NA,NA,053,NA,1.4,NA
2016-06-07,1202,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,22,low water,3,NA,Jimmy O'Donnell,NA,NA,052,NA,1.4,NA
2016-06-07,1204,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,23,low water,4,NA,Jimmy O'Donnell,NA,NA,054,NA,1.4,NA
2016-06-07,1205,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,32,low water,5,NA,Jimmy O'Donnell,NA,NA,055,NA,1.4,NA
2016-06-07,1206,water-marine,Browns Slough Diked Side,Jimmy O'Donnell,44,low water,6,NA,Jimmy O'Donnell,NA,NA,056,NA,1.4,NA
2016-06-07,NA,water-deionized,NA,Jimmy O'Donnell,deionized water,NA,1,NA,Jimmy O'Donnell,1150,NA,038,filtered at site,1.4,NA
2016-06-08,0821,water-marine,Ika Upper,Jimmy O'Donnell,28,NA,1,NA,Jimmy O'Donnell,1312,NA,057,NA,1.4,NA
2016-06-08,0822,water-marine,Ika Upper,Jimmy O'Donnell,03,NA,2,NA,Jimmy O'Donnell,1313,NA,058,NA,1.4,NA
2016-06-08,0823,water-marine,Ika Upper,Jimmy O'Donnell,24,NA,3,NA,Jimmy O'Donnell,1314,NA,059,NA,1.4,NA
2016-06-08,0828,water-marine,Ika Upper,Jimmy O'Donnell,07,NA,4,NA,Jimmy O'Donnell,1340,NA,060,forceps used to handle filter were possibly not clean,1.4,NA
2016-06-08,0829,water-marine,Ika Upper,Jimmy O'Donnell,17,NA,5,NA,Jimmy O'Donnell,1341,NA,061,forceps used to handle filter were possibly not clean,1.4,NA
2016-06-08,0830,water-marine,Ika Upper,Jimmy O'Donnell,45,NA,6,NA,Jimmy O'Donnell,1342,NA,062,forceps used to handle filter were possibly not clean,1.4,NA
2016-06-08,0835,water-marine,Ika Lower,Jimmy O'Donnell,05,NA,1,NA,Jimmy O'Donnell,1411,NA,063,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0837,water-marine,Ika Lower,Jimmy O'Donnell,46,NA,2,NA,Jimmy O'Donnell,1411,NA,064,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0838,water-marine,Ika Lower,Jimmy O'Donnell,14,NA,3,NA,Jimmy O'Donnell,1411,NA,065,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0839,water-marine,Ika Lower,Jimmy O'Donnell,43,NA,4,NA,Jimmy O'Donnell,1500,NA,067,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0841,water-marine,Ika Lower,Jimmy O'Donnell,08,NA,5,NA,Jimmy O'Donnell,1500,NA,068,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0842,water-marine,Ika Lower,Jimmy O'Donnell,38,NA,6,NA,Jimmy O'Donnell,1500,NA,069,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-08,0852,water-marine,Cattail,Jimmy O'Donnell,04,NA,1,NA,Jimmy O'Donnell,1532,NA,070,NA,1.4,NA
2016-06-08,0854,water-marine,Cattail,Jimmy O'Donnell,36,NA,2,NA,Jimmy O'Donnell,1533,NA,071,NA,1.4,NA
2016-06-08,0855,water-marine,Cattail,Jimmy O'Donnell,15,NA,3,NA,Jimmy O'Donnell,1534,NA,072,NA,1.4,NA
2016-06-08,0856,water-marine,Cattail,Jimmy O'Donnell,48,NA,4,NA,Jimmy O'Donnell,1607,NA,073,NA,1.4,NA
2016-06-08,0858,water-marine,Cattail,Jimmy O'Donnell,47,NA,5,NA,Jimmy O'Donnell,1607,NA,074,NA,1.4,NA
2016-06-08,0859,water-marine,Cattail,Jimmy O'Donnell,42,NA,6,NA,Jimmy O'Donnell,1607,NA,075,NA,1.4,NA
2016-06-08,0927,water-marine,Grain of Sand,Jimmy O'Donnell,40,NA,1,NA,Jimmy O'Donnell,1632,NA,076,NA,1.4,NA
2016-06-08,0928,water-marine,Grain of Sand,Jimmy O'Donnell,34,NA,2,NA,Jimmy O'Donnell,1632,NA,077,NA,1.4,NA
2016-06-08,0929,water-marine,Grain of Sand,Jimmy O'Donnell,12,NA,3,NA,Jimmy O'Donnell,1632,NA,078,NA,1.4,NA
2016-06-08,0930,water-marine,Grain of Sand,Jimmy O'Donnell,33,NA,4,NA,Jimmy O'Donnell,1710,NA,079,NA,1.4,NA
2016-06-08,0932,water-marine,Grain of Sand,Jimmy O'Donnell,26,NA,5,NA,Jimmy O'Donnell,1711,NA,081,NA,1.4,NA
2016-06-08,0933,water-marine,Grain of Sand,Jimmy O'Donnell,29,NA,6,NA,Jimmy O'Donnell,1712,NA,080,NA,1.4,NA
2016-06-08,NA,water-deionized,NA,Jimmy O'Donnell,deionized water,NA,1,NA,Jimmy O'Donnell,1440,NA,066,forceps used to handle filter were definitely not clean,1.4,NA
2016-06-13,0931,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",35,after seine 1,1,NA,"Ole Shelton, LM, LB, Jimmy Kralj",1253,NA,083,filtered at site,1.4,NA
2016-06-13,0932,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",34,after seine 1,2,NA,"Ole Shelton, LM, LB, Jimmy Kralj",1240,NA,082,filtered at site,1.4,NA
2016-06-13,0934,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",38,after seine 1,3,NA,"Ole Shelton, LM, LB, Jimmy Kralj",1304,NA,084,filtered at site,1.4,NA
2016-06-13,0941,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",12,after seine 2,4,NA,Jimmy Kralj,NA,NA,085,solids made it past membrane,1.4,NA
2016-06-13,0943,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",39,after seine 2,5,NA,Jimmy Kralj,NA,NA,086,NA,1.4,NA
2016-06-13,0945,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",23,after seine 2,6,NA,Jimmy Kralj,NA,NA,087,NA,1.4,NA
2016-06-13,0947,water-marine,Lone Tree Point,"Ole Shelton, LM, LB, Jimmy Kralj",08,after seine 2,7,NA,Jimmy Kralj,NA,NA,088,NA,1.4,NA
2016-06-13,1026,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",36,after seine 1,1,NA,Jimmy Kralj,NA,NA,089,NA,1.4,NA
2016-06-13,1027,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",05,after seine 1,2,NA,Jimmy Kralj,NA,NA,090,solids made it past membrane,1.4,NA
2016-06-13,1029,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",31,after seine 1,3,NA,Jimmy Kralj,NA,NA,091,NA,1.4,NA
2016-06-13,1040,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",30,after seine 2,4,NA,Jimmy Kralj,NA,NA,092,NA,1.4,NA
2016-06-13,1041,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",47,after seine 2,5,NA,Jimmy Kralj,NA,NA,093,NA,1.4,NA
2016-06-13,1042,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",41,after seine 2,6,NA,Jimmy Kralj,NA,NA,094,NA,1.4,NA
2016-06-13,1043,water-marine,Hoypus,"Ole Shelton, LM, LB, Jimmy Kralj",22,after seine 2,7,NA,NA,NA,NA,NA,did not filter,NA,NA
2016-06-13,1140,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",25,after seine 1,1,NA,Jimmy Kralj,NA,NA,096,NA,1.4,NA
2016-06-13,1143,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",48,after seine 1,2,NA,Jimmy Kralj,NA,NA,097,NA,1.4,NA
2016-06-13,1144,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",28,after seine 1,3,NA,Jimmy Kralj,NA,NA,098,NA,1.4,NA
2016-06-13,1152,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",07,after seine 2,4,NA,Jimmy Kralj,1820,NA,099,solids made it past membrane,1.4,NA
2016-06-13,1153,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",04,after seine 2,5,NA,Jimmy Kralj,NA,NA,100,solids made it past membrane,1.4,NA
2016-06-13,1154,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",14,after seine 2,6,NA,Jimmy Kralj,NA,NA,101,NA,1.4,NA
2016-06-13,1155,water-marine,Dugualla Bluff,"Ole Shelton, LM, LB, Jimmy Kralj",33,after seine 2,7,NA,NA,NA,NA,NA,did not filter,NA,NA
2016-06-13,1330,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",01,after seine 1,1,NA,Jimmy Kralj,NA,NA,102,NA,1.4,NA
2016-06-13,1331,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",26,after seine 1,2,NA,Jimmy Kralj,NA,NA,103,NA,1.4,NA
2016-06-13,1332,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",03,after seine 1,3,NA,Jimmy Kralj,NA,NA,104,NA,1.4,NA
2016-06-13,1334,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",24,after seine 2,4,NA,Jimmy Kralj,NA,NA,105,NA,1.4,NA
2016-06-13,1335,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",11,after seine 2,5,NA,Jimmy Kralj,NA,NA,106,NA,1.4,NA
2016-06-13,1336,water-marine,Random Middle 433,"Ole Shelton, LM, LB, Jimmy Kralj",43,after seine 2,6,NA,NA,NA,NA,NA,did not filter,NA,NA
2016-06-13,1401,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",20,after seine 1,1,NA,Jimmy Kralj,NA,NA,107,NA,1.4,NA
2016-06-13,1402,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",32,after seine 1,2,NA,Jimmy Kralj,NA,NA,108,NA,1.4,NA
2016-06-13,1403,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",40,after seine 1,3,NA,Jimmy Kralj,NA,NA,109,NA,1.4,NA
2016-06-13,1411,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",42,after seine 2,4,NA,Jimmy Kralj,NA,NA,110,NA,1.4,NA
2016-06-13,1413,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",44,after seine 2,5,NA,Jimmy Kralj,NA,NA,111,NA,1.4,NA
2016-06-13,1414,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",37,after seine 2,6,NA,Jimmy Kralj,NA,NA,112,NA,1.4,NA
2016-06-13,1415,water-marine,Turners Spit N,"Ole Shelton, LM, LB, Jimmy Kralj",27,after seine 2,7,NA,NA,NA,NA,NA,did not filter,NA,NA
2016-06-13,NA,water-deionized,NA,"Ole Shelton, LM, LB, Jimmy Kralj",deionized water,NA,1,NA,Jimmy Kralj,NA,NA,095,NA,1.4,NA
2016-06-15,0907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",20,after seine 1,1,NA,Jimmy O'Donnell,NA,NA,113,NA,1.4,NA
2016-06-15,0907,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",39,after seine 1,2,NA,Jimmy O'Donnell,NA,NA,114,NA,1.4,NA
2016-06-15,0908,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",23,after seine 1,3,NA,Jimmy O'Donnell,NA,NA,115,NA,1.4,NA
2016-06-15,0909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",07,after seine 1,4,NA,Jimmy O'Donnell,1620,NA,119,NA,1.4,NA
2016-06-15,0909,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",04,after seine 1,5,NA,Jimmy O'Donnell,NA,NA,117,NA,1.4,NA
2016-06-15,0910,water-marine,Strawberry Point North,"Jimmy O'Donnell, Heather Jackson, LM",47,after seine 1,6,NA,Jimmy O'Donnell,NA,NA,118,NA,1.4,NA
2016-06-15,1000,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",31,NA,1,NA,Jimmy O'Donnell,NA,NA,116,NA,1.4,NA
2016-06-15,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",01,NA,2,NA,Jimmy O'Donnell,NA,NA,121,NA,1.4,NA
2016-06-15,1001,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",11,NA,3,NA,Jimmy O'Donnell,NA,NA,122,NA,1.4,NA
2016-06-15,1007,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",24,NA,4,NA,Jimmy O'Donnell,NA,NA,123,NA,1.4,NA
2016-06-15,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",37,NA,5,NA,Jimmy O'Donnell,NA,NA,124,NA,1.4,NA
2016-06-15,1008,water-marine,Brown Point,"Jimmy O'Donnell, Heather Jackson, LM",43,NA,6,NA,Jimmy O'Donnell,NA,NA,125,NA,1.4,NA
2016-06-15,1116,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",08,NA,1,NA,Jimmy O'Donnell,NA,NA,126,NA,1.4,NA
2016-06-15,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",42,NA,2,NA,Jimmy O'Donnell,NA,NA,127,"piece of filter broke, dropped, added back in",1.4,NA
2016-06-15,1117,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",32,NA,3,NA,Jimmy O'Donnell,NA,NA,128,NA,1.4,NA
2016-06-15,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",41,NA,4,NA,Jimmy O'Donnell,NA,NA,129,NA,1.4,NA
2016-06-15,1118,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",44,NA,5,NA,Jimmy O'Donnell,NA,NA,130,NA,1.4,NA
2016-06-15,1119,water-marine,Random near Camp Grande,"Jimmy O'Donnell, Heather Jackson, LM",27,NA,6,NA,Jimmy O'Donnell,1812,NA,131,NA,1.4,NA
2016-06-15,1203,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",33,NA,1,NA,Jimmy O'Donnell,1827,NA,132,NA,1.4,NA
2016-06-15,1204,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",48,NA,2,NA,Jimmy O'Donnell,1829,NA,133,NA,1.4,NA
2016-06-15,1205,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",17,NA,3,NA,Jimmy O'Donnell,NA,NA,134,NA,1.4,NA
2016-06-15,1217,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",26,NA,4,NA,Jimmy O'Donnell,1841,NA,135,NA,1.4,NA
2016-06-15,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",12,NA,5,NA,Jimmy O'Donnell,NA,NA,136,smudged filter with finger,1.4,NA
2016-06-15,1218,water-marine,Mariners Bluff,"Jimmy O'Donnell, Heather Jackson, LM",36,NA,6,NA,Jimmy O'Donnell,NA,NA,137,NA,1.4,NA
2016-06-15,NA,water-deionized,NA,Jimmy O'Donnell,deionized water,NA,1,NA,Jimmy O'Donnell,1700,NA,120,NA,1.4,NA
2016-06-03,NA,water-aquarium,Aquarium323,Jimmy O'Donnell,NA,Danio rerio; Microsorum pteropus,1,NA,Jimmy O'Donnell,NA,NA,AQ323-160603,NA,5,NA
2016-06-03,NA,water-aquarium,AquariumJimmy,Jimmy O'Donnell,NA,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,NA,Jimmy O'Donnell,NA,NA,AQJO-160603A,NA,5,NA
2016-06-03,NA,water-aquarium,AquariumJimmy,Jimmy O'Donnell,NA,Poecilia wingei; Neocaridina denticulata davidi; Microsorum pteropus; Hypnaceae sp,1,NA,Jimmy O'Donnell,NA,NA,AQJO-160603B,NA,5,NA
