"","site_name","date","Sum"
"1","Aquarium323","2016-06-03",0
"2","Aquarium323","2017-04-18",0
"3","AquariumJimmy","2016-06-03",0
"4","Brown Point","2016-05-31",6
"5","Brown Point","2016-06-15",4
"6","Brown Point","2017-02-22",2
"7","Brown Point","2017-03-20",1
"8","Brown Point","2017-05-16",0
"9","Brown Point","2017-06-19",0
"10","Browns Slough Diked Side","2016-06-07",7
"11","Browns Slough Diked Side","2017-02-17",2
"12","Browns Slough Diked Side","2017-03-16",0
"13","Browns Slough Diked Side","2017-04-14",0
"14","Browns Slough Out Side","2016-06-07",8
"15","Cattail","2016-06-08",3
"16","Cattail","2017-02-14",2
"17","Cattail","2017-03-14",0
"18","Cattail","2017-04-12",2
"19","Cattail","2017-05-30",0
"20","Deepwater","2017-02-15",2
"21","Deepwater","2017-03-15",1
"22","Deepwater","2017-04-13",0
"23","Deepwater","2017-05-31",0
"24","Dugualla Bluff","2016-06-13",6
"25","Dugualla Bluff","2017-02-21",0
"26","Dugualla Bluff","2017-03-21",0
"27","Dugualla Bluff","2017-04-17",1
"28","Dugualla Bluff","2017-05-16",0
"29","Dugualla Bluff","2017-06-21",0
"30","Freshwater Pond","2017-02-15",1
"31","Freshwater Pond","2017-03-15",2
"32","Freshwater Pond","2017-04-13",1
"33","Freshwater Pond","2017-05-31",0
"34","Goat Island","2017-02-22",5
"35","Goat Island","2017-03-20",5
"36","Goat Island","2017-04-18",1
"37","Goat Island","2017-05-17",5
"38","Goat Island","2017-06-19",0
"39","Goat Island","2017-06-21",4
"40","Grain of Sand","2016-06-08",6
"41","Grain of Sand","2017-02-14",1
"42","Grain of Sand","2017-03-14",3
"43","Grain of Sand","2017-04-12",2
"44","Grain of Sand","2017-05-30",0
"45","Hoypus","2016-06-13",6
"46","Hoypus","2017-02-21",5
"47","Hoypus","2017-03-21",5
"48","Hoypus","2017-04-17",5
"49","Hoypus","2017-05-17",5
"50","Hoypus","2017-06-21",4
"51","Ika Lower","2016-06-08",3
"52","Ika Lower","2017-02-14",2
"53","Ika Lower","2017-03-14",1
"54","Ika Lower","2017-04-12",0
"55","Ika Lower","2017-05-30",0
"56","Ika Upper","2016-06-08",3
"57","Ika Upper","2017-02-14",1
"58","Ika Upper","2017-03-14",3
"59","Ika Upper","2017-04-12",2
"60","Ika Upper","2017-05-30",0
"61","Lone Tree Point","2016-06-13",7
"62","Lone Tree Point","2017-02-21",5
"63","Lone Tree Point","2017-03-21",5
"64","Lone Tree Point","2017-04-17",5
"65","Lone Tree Point","2017-05-16",0
"66","Lone Tree Point","2017-05-17",5
"67","Lone Tree Point","2017-06-21",4
"68","Mariners Bluff","2016-05-31",6
"69","Mariners Bluff","2016-06-15",3
"70","Mariners Bluff","2017-02-22",1
"71","Mariners Bluff","2017-03-20",1
"72","Mariners Bluff","2017-05-16",1
"73","Mariners Bluff","2017-06-19",0
"74","Random - Waypoint0333","2017-04-18",0
"75","Random 1 2016-05-31 Utsalady Point","2016-05-31",6
"76","Random 2 2016-05-31 Maple Grove","2016-05-31",6
"77","Random 364","2017-02-22",0
"78","Random Middle 433","2016-06-13",3
"79","Random near Camp Grande","2016-06-15",4
"80","Random North 1041","2017-02-21",0
"81","Strawberry Point North","2016-05-31",6
"82","Strawberry Point North","2016-06-15",4
"83","Strawberry Point North","2017-02-22",5
"84","Strawberry Point North","2017-03-20",5
"85","Strawberry Point North","2017-04-18",5
"86","Strawberry Point North","2017-05-16",1
"87","Strawberry Point North","2017-05-17",5
"88","Strawberry Point North","2017-06-19",5
"89","Tom Moore","2017-02-15",0
"90","Tom Moore","2017-03-15",1
"91","Tom Moore","2017-04-13",1
"92","Tom Moore","2017-05-31",0
"93","Turners Spit N","2016-06-13",4
"94","Turners Spit N","2017-02-21",5
"95","Turners Spit N","2017-03-21",5
"96","Turners Spit N","2017-04-17",5
"97","Turners Spit N","2017-05-16",4
"98","Turners Spit N","2017-06-21",4
"99","Wylie Boat Ramp","2017-02-15",1
"100","Wylie Boat Ramp","2017-03-15",3
"101","Wylie Boat Ramp","2017-04-13",1
"102","Wylie Boat Ramp","2017-05-31",0
"103",NA,"2016-05-31",1
"104",NA,"2016-06-07",1
"105",NA,"2016-06-08",1
"106",NA,"2016-06-13",1
"107",NA,"2016-06-15",1
"108",NA,"2017-02-14",0
"109",NA,"2017-02-15",0
"110",NA,"2017-02-17",0
"111",NA,"2017-02-21",1
"112",NA,"2017-02-22",0
"113",NA,"2017-03-14",0
"114",NA,"2017-03-15",1
"115",NA,"2017-03-16",1
"116",NA,"2017-03-20",0
"117",NA,"2017-03-21",0
"118",NA,"2017-04-12",0
"119",NA,"2017-05-17",0
