"BROWPT"  "Brown Point (X)"  "Brown Point"
"BRSLBC"  "Browns Sl Barrow Ch"  "Brown Slough Outside"
"BRSLDS"  "Browns Sl Diked Side"  "Brown Slough Dike Side"
"CATSAL"  "Cattail Saltmarsh"  "Cattail"
"DUGUAL"  "Dugualla Bluff"  "Dugualla Bluff"
"GRAINS"  "Grain of Sand"  "Grain of Sand"
"HOYPTE"  "Hoypus Pt E"  "Hoypus"
"IKALOW"  "Ika Lower"  "Ika Lower"
"IKAUPP"  "Ika Upper"  "Ika Upper"
"LOTRPT"  "Lone Tree Pt"  "Lone Tree Point"
"MARINB"  "Mariners Bluff"  "Mariner's Bluff"
"RM0433"  "Random Middle 433"  "Random Middle 433"
"RN1194"  "Random North 1194"  "No water samples"
"RN1219"  "Random North 1219"  "No water samples"
"RS0147"  "Random South 147"  "No water samples"
"RS1548"  "Random South 1548"  "Random 1 2016-05-31 Utsalady Point"
"RS1578"  "Random South 1578"  "Random 2 2016-05-31 Maple Grove"
"RS1625"  "Random South 1625"  "Random near Camp Grande"
"STRPTN"  "Strawberry Pt N"  "Strawberry Point North"
"STRPTS"  "Strawberry Pt S"  "Strawberry Point South"
"TURSPN"  "Turners Spit N"  "Turner's Spit North"
"GOATIS"  "Goat Island"  "Goat Island"
