date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box,EXTRACT
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,1,,1,,Jimmy O'Donnell,morning,,1,filtered on RV Minnow,1,,
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,16,,2,,Jimmy O'Donnell,morning,,2,filtered on RV Minnow,1,,
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,17,,3,,Jimmy O'Donnell,morning,,3,filtered on RV Minnow,1,,
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,3,,4,,Jimmy O'Donnell,morning,,4,filtered on RV Minnow,1,,
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,6,,5,,Jimmy O'Donnell,morning,,5,filtered on RV Minnow,1,,
5/31/16,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,11,,6,,Jimmy O'Donnell,morning,,6,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,13,,1,,Jimmy O'Donnell,morning,,7,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,18,,2,,Jimmy O'Donnell,morning,,8,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,9,,3,,Jimmy O'Donnell,morning,,9,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,10,,4,,Jimmy O'Donnell,morning,,10,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,14,,5,,Jimmy O'Donnell,morning,,11,filtered on RV Minnow,1,,
5/31/16,1103,water-marine,Brown Point,Jimmy O'Donnell,7,,6,,Jimmy O'Donnell,morning,,12,filtered on RV Minnow,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,15,,1,,Jimmy O'Donnell,afternoon,,13,,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,2,,2,,Jimmy O'Donnell,afternoon,,14,,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,4,,3,,Jimmy O'Donnell,afternoon,,15,,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,48,,4,,Jimmy O'Donnell,afternoon,,16,,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,5,,5,,Jimmy O'Donnell,afternoon,,17,,1,,
5/31/16,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,36,,6,,Jimmy O'Donnell,afternoon,,18,,1,,
5/31/16,1215,water-marine,Random 2 2016-05-31 Maple Grove,Jimmy O'Donnell,34,,1,,Jimmy O'Donnell,afternoon,,19,eggs visible in sample while filtering,1,,
