date,time,sample_type,site_name,collector,field_label,field_notes,field_rep,photos_field,filterer,filter_start,filter_end,lab_label,filter_notes,preservative_ml,filter_box
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,1,,1,,Jimmy O'Donnell,morning,,001,filtered on RV Minnow,1,
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,16,,2,,Jimmy O'Donnell,morning,,002,filtered on RV Minnow,1,
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,17,,3,,Jimmy O'Donnell,morning,,003,filtered on RV Minnow,1,
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,3,,4,,Jimmy O'Donnell,morning,,004,filtered on RV Minnow,1,
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,6,,5,,Jimmy O'Donnell,morning,,005,filtered on RV Minnow,1,
2016-05-31,1020,water-marine,Strawberry Point North,Jimmy O'Donnell,11,,6,,Jimmy O'Donnell,morning,,006,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,13,,1,,Jimmy O'Donnell,morning,,007,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,18,,2,,Jimmy O'Donnell,morning,,008,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,9,,3,,Jimmy O'Donnell,morning,,009,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,10,,4,,Jimmy O'Donnell,morning,,010,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,14,,5,,Jimmy O'Donnell,morning,,011,filtered on RV Minnow,1,
2016-05-31,1103,water-marine,Brown Point,Jimmy O'Donnell,7,,6,,Jimmy O'Donnell,morning,,012,filtered on RV Minnow,1,
2016-05-31,1149,water-marine,Random 1 2016-05-31 Utsalady Point,Jimmy O'Donnell,15,,1,,Jimmy O'Donnell,afternoon,,013,,1,
