plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well,note
A,1,std_1.05e+00,1.05,Standard,1,A1,
B,1,std_2.10e-01,0.21,Standard,1,B1,
C,1,std_4.20e-02,0.042,Standard,1,C1,
D,1,std_8.40e-03,0.0084,Standard,1,D1,
E,1,std_1.68e-03,0.00168,Standard,1,E1,
F,1,std_3.36e-04,0.000336,Standard,1,F1,
G,1,std_6.72e-05,6.72e-05,Standard,1,G1,
H,1,std_0.00e+00,0,Standard,1,H1,
I,1,001,,Unknown,1,I1,
J,1,002,,Unknown,1,J1,
K,1,003,,Unknown,1,K1,
L,1,004,,Unknown,1,L1,
M,1,007,,Unknown,1,M1,
N,1,008,,Unknown,1,N1,
O,1,009,,Unknown,1,O1,
P,1,010,,Unknown,1,P1,
A,2,std_1.05e+00,1.05,Standard,2,A2,
B,2,std_2.10e-01,0.21,Standard,2,B2,
C,2,std_4.20e-02,0.042,Standard,2,C2,
D,2,std_8.40e-03,0.0084,Standard,2,D2,
E,2,std_1.68e-03,0.00168,Standard,2,E2,
F,2,std_3.36e-04,0.000336,Standard,2,F2,
G,2,std_6.72e-05,6.72e-05,Standard,2,G2,
H,2,std_0.00e+00,0,Standard,2,H2,
I,2,001,,Unknown,2,I2,
J,2,002,,Unknown,2,J2,
K,2,003,,Unknown,2,K2,
L,2,004,,Unknown,2,L2,
M,2,007,,Unknown,2,M2,
N,2,008,,Unknown,2,N2,
O,2,009,,Unknown,2,O2,
P,2,010,,Unknown,2,P2,
A,3,std_1.05e+00,1.05,Standard,3,A3,
B,3,std_2.10e-01,0.21,Standard,3,B3,
C,3,std_4.20e-02,0.042,Standard,3,C3,
D,3,std_8.40e-03,0.0084,Standard,3,D3,
E,3,std_1.68e-03,0.00168,Standard,3,E3,
F,3,std_3.36e-04,0.000336,Standard,3,F3,
G,3,std_6.72e-05,6.72e-05,Standard,3,G3,
H,3,std_0.00e+00,0,Standard,3,H3,
I,3,001,,Unknown,3,I3,
J,3,002,,Unknown,3,J3,
K,3,003,,Unknown,3,K3,
L,3,004,,Unknown,3,L3,
M,3,007,,Unknown,3,M3,
N,3,008,,Unknown,3,N3,
O,3,009,,Unknown,3,O3,
P,3,010,,Unknown,3,P3,
A,4,025,,Unknown,1,A4,
B,4,026,,Unknown,1,B4,
C,4,057,,Unknown,1,C4,
D,4,028,,Unknown,1,D4,half concentration template
E,4,091,,Unknown,1,E4,
F,4,096,,Unknown,1,F4,
G,4,097,,Unknown,1,G4,
H,4,098,,Unknown,1,H4,
I,4,099,,Unknown,1,I4,
J,4,113,,Unknown,1,J4,
K,4,114,,Unknown,1,K4,
L,4,115,,Unknown,1,L4,
M,4,118,,Unknown,1,M4,
N,4,227,,Unknown,1,N4,
O,4,228,,Unknown,1,O4,
P,4,229,,Unknown,1,P4,
A,5,025,,Unknown,2,A5,
B,5,026,,Unknown,2,B5,
C,5,057,,Unknown,2,C5,
D,5,028,,Unknown,2,D5,half concentration template
E,5,091,,Unknown,2,E5,
F,5,096,,Unknown,2,F5,
G,5,097,,Unknown,2,G5,
H,5,098,,Unknown,2,H5,
I,5,099,,Unknown,2,I5,
J,5,113,,Unknown,2,J5,
K,5,114,,Unknown,2,K5,
L,5,115,,Unknown,2,L5,
M,5,118,,Unknown,2,M5,
N,5,227,,Unknown,2,N5,
O,5,228,,Unknown,2,O5,
P,5,229,,Unknown,2,P5,
A,6,025,,Unknown,3,A6,
B,6,026,,Unknown,3,B6,
C,6,057,,Unknown,3,C6,
D,6,028,,Unknown,3,D6,half concentration template
E,6,091,,Unknown,3,E6,
F,6,096,,Unknown,3,F6,
G,6,097,,Unknown,3,G6,
H,6,098,,Unknown,3,H6,
I,6,099,,Unknown,3,I6,
J,6,113,,Unknown,3,J6,
K,6,114,,Unknown,3,K6,
L,6,115,,Unknown,3,L6,
M,6,118,,Unknown,3,M6,
N,6,227,,Unknown,3,N6,
O,6,228,,Unknown,3,O6,
P,6,229,,Unknown,3,P6,
A,7,230,,Unknown,1,A7,
B,7,231,,Unknown,1,B7,
C,7,232,,Unknown,1,C7,
D,7,235,,Unknown,1,D7,
E,7,236,,Unknown,1,E7,
F,7,241,,Unknown,1,F7,
G,7,244,,Unknown,1,G7,
H,7,245,,Unknown,1,H7,
I,7,253,,Unknown,1,I7,
J,7,255,,Unknown,1,J7,
K,7,256,,Unknown,1,K7,
L,7,264,,Unknown,1,L7,
M,7,265,,Unknown,1,M7,
N,7,327,,Unknown,1,N7,
O,7,328,,Unknown,1,O7,
P,7,329,,Unknown,1,P7,
A,8,230,,Unknown,2,A8,potentially contaminated with sample 025
B,8,231,,Unknown,2,B8,potentially contaminated with sample 026
C,8,232,,Unknown,2,C8,potentially contaminated with sample 057
D,8,235,,Unknown,2,D8,potentially contaminated with sample 028
E,8,236,,Unknown,2,E8,potentially contaminated with sample 091
F,8,241,,Unknown,2,F8,potentially contaminated with sample 096
G,8,244,,Unknown,2,G8,potentially contaminated with sample 097
H,8,245,,Unknown,2,H8,potentially contaminated with sample 098
I,8,253,,Unknown,2,I8,
J,8,255,,Unknown,2,J8,
K,8,256,,Unknown,2,K8,
L,8,264,,Unknown,2,L8,
M,8,265,,Unknown,2,M8,
N,8,327,,Unknown,2,N8,
O,8,328,,Unknown,2,O8,
P,8,329,,Unknown,2,P8,
A,9,230,,Unknown,3,A9,
B,9,231,,Unknown,3,B9,
C,9,232,,Unknown,3,C9,
D,9,235,,Unknown,3,D9,
E,9,236,,Unknown,3,E9,
F,9,241,,Unknown,3,F9,
G,9,244,,Unknown,3,G9,
H,9,245,,Unknown,3,H9,
I,9,253,,Unknown,3,I9,
J,9,255,,Unknown,3,J9,
K,9,256,,Unknown,3,K9,
L,9,264,,Unknown,3,L9,
M,9,265,,Unknown,3,M9,
N,9,327,,Unknown,3,N9,
O,9,328,,Unknown,3,O9,
P,9,329,,Unknown,3,P9,
A,10,341,,Unknown,1,A10,
B,10,342,,Unknown,1,B10,
C,10,345,,Unknown,1,C10,
D,10,351,,Unknown,1,D10,
E,10,354,,Unknown,1,E10,
F,10,355,,Unknown,1,F10,
G,10,356,,Unknown,1,G10,
H,10,357,,Unknown,1,H10,
I,10,358,,Unknown,1,I10,
J,10,359,,Unknown,1,J10,
K,10,360,,Unknown,1,K10,
L,10,363,,Unknown,1,L10,
M,10,364,,Unknown,1,M10,
N,10,365,,Unknown,1,N10,
O,10,421,,Unknown,1,O10,
P,10,422,,Unknown,1,P10,
A,11,341,,Unknown,2,A11,
B,11,342,,Unknown,2,B11,
C,11,345,,Unknown,2,C11,
D,11,351,,Unknown,2,D11,
E,11,354,,Unknown,2,E11,
F,11,355,,Unknown,2,F11,
G,11,356,,Unknown,2,G11,
H,11,357,,Unknown,2,H11,
I,11,358,,Unknown,2,I11,
J,11,359,,Unknown,2,J11,
K,11,360,,Unknown,2,K11,
L,11,363,,Unknown,2,L11,
M,11,364,,Unknown,2,M11,
N,11,365,,Unknown,2,N11,
O,11,421,,Unknown,2,O11,
P,11,422,,Unknown,2,P11,
A,12,341,,Unknown,3,A12,
B,12,342,,Unknown,3,B12,
C,12,345,,Unknown,3,C12,
D,12,351,,Unknown,3,D12,
E,12,354,,Unknown,3,E12,
F,12,355,,Unknown,3,F12,
G,12,356,,Unknown,3,G12,
H,12,357,,Unknown,3,H12,
I,12,358,,Unknown,3,I12,very little sample
J,12,359,,Unknown,3,J12,
K,12,360,,Unknown,3,K12,
L,12,363,,Unknown,3,L12,
M,12,364,,Unknown,3,M12,
N,12,365,,Unknown,3,N12,very little sample
O,12,421,,Unknown,3,O12,
P,12,422,,Unknown,3,P12,
A,13,423,,Unknown,1,A13,
B,13,424,,Unknown,1,B13,
C,13,430,,Unknown,1,C13,
D,13,431,,Unknown,1,D13,
E,13,432,,Unknown,1,E13,
F,13,433,,Unknown,1,F13,
G,13,434,,Unknown,1,G13,
H,13,435,,Unknown,1,H13,
I,13,436,,Unknown,1,I13,
J,13,437,,Unknown,1,J13,
K,13,439,,Unknown,1,K13,
L,13,446,,Unknown,1,L13,
M,13,448,,Unknown,1,M13,
N,13,449,,Unknown,1,N13,
O,13,450,,Unknown,1,O13,
P,13,459,,Unknown,1,P13,
A,14,423,,Unknown,2,A14,
B,14,424,,Unknown,2,B14,
C,14,430,,Unknown,2,C14,
D,14,431,,Unknown,2,D14,
E,14,432,,Unknown,2,E14,
F,14,433,,Unknown,2,F14,
G,14,434,,Unknown,2,G14,
H,14,435,,Unknown,2,H14,
I,14,436,,Unknown,2,I14,
J,14,437,,Unknown,2,J14,
K,14,439,,Unknown,2,K14,
L,14,446,,Unknown,2,L14,
M,14,448,,Unknown,2,M14,
N,14,449,,Unknown,2,N14,
O,14,450,,Unknown,2,O14,
P,14,459,,Unknown,2,P14,
A,15,423,,Unknown,3,A15,
B,15,424,,Unknown,3,B15,
C,15,430,,Unknown,3,C15,
D,15,431,,Unknown,3,D15,
E,15,432,,Unknown,3,E15,
F,15,433,,Unknown,3,F15,
G,15,434,,Unknown,3,G15,
H,15,435,,Unknown,3,H15,
I,15,436,,Unknown,3,I15,
J,15,437,,Unknown,3,J15,
K,15,439,,Unknown,3,K15,
L,15,446,,Unknown,3,L15,
M,15,448,,Unknown,3,M15,
N,15,449,,Unknown,3,N15,
O,15,450,,Unknown,3,O15,
P,15,459,,Unknown,3,P15,
A,16,460,,Unknown,1,A16,
B,16,461,,Unknown,1,B16,
C,16,482,,Unknown,1,C16,
D,16,483,,Unknown,1,D16,
E,16,484,,Unknown,1,E16,
F,16,598,,Unknown,1,F16,
G,16,486,,Unknown,1,G16,
H,16,487,,Unknown,1,H16,
I,16,488,,Unknown,1,I16,
J,16,489,,Unknown,1,J16,
K,16,490,,Unknown,1,K16,
L,16,491,,Unknown,1,L16,
M,16,492,,Unknown,1,M16,
N,16,493,,Unknown,1,N16,
O,16,494,,Unknown,1,O16,
P,16,495,,Unknown,1,P16,
A,17,460,,Unknown,2,A17,
B,17,461,,Unknown,2,B17,
C,17,482,,Unknown,2,C17,
D,17,483,,Unknown,2,D17,
E,17,484,,Unknown,2,E17,
F,17,598,,Unknown,2,F17,
G,17,486,,Unknown,2,G17,
H,17,487,,Unknown,2,H17,
I,17,488,,Unknown,2,I17,
J,17,489,,Unknown,2,J17,
K,17,490,,Unknown,2,K17,
L,17,491,,Unknown,2,L17,
M,17,492,,Unknown,2,M17,
N,17,493,,Unknown,2,N17,
O,17,494,,Unknown,2,O17,
P,17,495,,Unknown,2,P17,
A,18,460,,Unknown,3,A18,
B,18,461,,Unknown,3,B18,
C,18,482,,Unknown,3,C18,
D,18,483,,Unknown,3,D18,
E,18,484,,Unknown,3,E18,
F,18,598,,Unknown,3,F18,
G,18,486,,Unknown,3,G18,
H,18,487,,Unknown,3,H18,
I,18,488,,Unknown,3,I18,
J,18,489,,Unknown,3,J18,
K,18,490,,Unknown,3,K18,
L,18,491,,Unknown,3,L18,
M,18,492,,Unknown,3,M18,
N,18,493,,Unknown,3,N18,
O,18,494,,Unknown,3,O18,
P,18,495,,Unknown,3,P18,
A,19,496,,Unknown,1,A19,
B,19,497,,Unknown,1,B19,
C,19,498,,Unknown,1,C19,
D,19,499,,Unknown,1,D19,
E,19,500,,Unknown,1,E19,
F,19,501,,Unknown,1,F19,
G,19,547,,Unknown,1,G19,
H,19,548,,Unknown,1,H19,
I,19,549,,Unknown,1,I19,
J,19,566,,Unknown,1,J19,
K,19,567,,Unknown,1,K19,
L,19,568,,Unknown,1,L19,
M,19,569,,Unknown,1,M19,
N,19,570,,Unknown,1,N19,
O,19,571,,Unknown,1,O19,
P,19,573,,Unknown,1,P19,
A,20,496,,Unknown,2,A20,
B,20,497,,Unknown,2,B20,
C,20,498,,Unknown,2,C20,
D,20,499,,Unknown,2,D20,
E,20,500,,Unknown,2,E20,
F,20,501,,Unknown,2,F20,
G,20,547,,Unknown,2,G20,
H,20,548,,Unknown,2,H20,
I,20,549,,Unknown,2,I20,
J,20,566,,Unknown,2,J20,
K,20,567,,Unknown,2,K20,
L,20,568,,Unknown,2,L20,
M,20,569,,Unknown,2,M20,
N,20,570,,Unknown,2,N20,
O,20,571,,Unknown,2,O20,
P,20,573,,Unknown,2,P20,
A,21,496,,Unknown,3,A21,
