plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,363,,EDNA,1,A1
B,1,364,,EDNA,1,B1
C,1,365,,EDNA,1,C1
D,1,421,,EDNA,1,D1
E,1,422,,EDNA,1,E1
F,1,423,,EDNA,1,F1
G,1,424,,EDNA,1,G1
H,1,430,,EDNA,1,H1
A,2,363,,EDNA,2,A2
B,2,364,,EDNA,2,B2
C,2,365,,EDNA,2,C2
D,2,421,,EDNA,2,D2
E,2,422,,EDNA,2,E2
F,2,423,,EDNA,2,F2
G,2,424,,EDNA,2,G2
H,2,430,,EDNA,2,H2
A,3,363,,EDNA,3,A3
B,3,364,,EDNA,3,B3
C,3,365,,EDNA,3,C3
D,3,421,,EDNA,3,D3
E,3,422,,EDNA,3,E3
F,3,423,,EDNA,3,F3
G,3,424,,EDNA,3,G3
H,3,430,,EDNA,3,H3
A,4,431,,EDNA,1,A4
B,4,432,,EDNA,1,B4
C,4,433,,EDNA,1,C4
D,4,434,,EDNA,1,D4
E,4,435,,EDNA,1,E4
F,4,436,,EDNA,1,F4
G,4,437,,EDNA,1,G4
H,4,439,,EDNA,1,H4
A,5,431,,EDNA,2,A5
B,5,432,,EDNA,2,B5
C,5,433,,EDNA,2,C5
D,5,434,,EDNA,2,D5
E,5,435,,EDNA,2,E5
F,5,436,,EDNA,2,F5
G,5,437,,EDNA,2,G5
H,5,439,,EDNA,2,H5
A,6,431,,EDNA,3,A6
B,6,432,,EDNA,3,B6
C,6,433,,EDNA,3,C6
D,6,434,,EDNA,3,D6
E,6,435,,EDNA,3,E6
F,6,436,,EDNA,3,F6
G,6,437,,EDNA,3,G6
H,6,439,,EDNA,3,H6
A,7,446,,EDNA,1,A7
B,7,448,,EDNA,1,B7
C,7,449,,EDNA,1,C7
D,7,450,,EDNA,1,D7
E,7,459,,EDNA,1,E7
F,7,460,,EDNA,1,F7
G,7,461,,EDNA,1,G7
H,7,482,,EDNA,1,H7
A,8,446,,EDNA,2,A8
B,8,448,,EDNA,2,B8
C,8,449,,EDNA,2,C8
D,8,450,,EDNA,2,D8
E,8,459,,EDNA,2,E8
F,8,460,,EDNA,2,F8
G,8,461,,EDNA,2,G8
H,8,482,,EDNA,2,H8
A,9,446,,EDNA,3,A9
B,9,448,,EDNA,3,B9
C,9,449,,EDNA,3,C9
D,9,450,,EDNA,3,D9
E,9,459,,EDNA,3,E9
F,9,460,,EDNA,3,F9
G,9,461,,EDNA,3,G9
H,9,482,,EDNA,3,H9
A,10,483,,EDNA,1,A10
B,10,484,,EDNA,1,B10
C,10,486,,EDNA,1,C10
D,10,487,,EDNA,1,D10
E,10,488,,EDNA,1,E10
F,10,AMCPMOO101-161012,,control_pos,1,F10
G,10,POWI15,,control_pos,1,G10
H,10,ELWHA-2016-001,,EDNA,1,H10
A,11,483,,EDNA,2,A11
B,11,484,,EDNA,2,B11
C,11,486,,EDNA,2,C11
D,11,487,,EDNA,2,D11
E,11,488,,EDNA,2,E11
F,11,AMCPMOO101-161012,,control_pos,2,F11
G,11,POWI15,,control_pos,2,G11
H,11,ELWHA-2016-001,,EDNA,2,H11
A,12,483,,EDNA,3,A12
B,12,484,,EDNA,3,B12
C,12,486,,EDNA,3,C12
D,12,487,,EDNA,3,D12
E,12,488,,EDNA,3,E12
F,12,AMCPMOO101-161012,,control_pos,3,F12
G,12,POWI15,,control_pos,3,G12
H,12,ELWHA-2016-001,,EDNA,3,H12
