plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,489,,Unknown,1,A1
B,1,490,,Unknown,1,B1
C,1,491,,Unknown,1,C1
D,1,492,,Unknown,1,D1
E,1,493,,Unknown,1,E1
F,1,494,,Unknown,1,F1
G,1,495,,Unknown,1,G1
H,1,496,,Unknown,1,H1
A,2,489,,Unknown,2,A2
B,2,490,,Unknown,2,B2
C,2,491,,Unknown,2,C2
D,2,492,,Unknown,2,D2
E,2,493,,Unknown,2,E2
F,2,494,,Unknown,2,F2
G,2,495,,Unknown,2,G2
H,2,496,,Unknown,2,H2
A,3,489,,Unknown,3,A3
B,3,490,,Unknown,3,B3
C,3,491,,Unknown,3,C3
D,3,492,,Unknown,3,D3
E,3,493,,Unknown,3,E3
F,3,494,,Unknown,3,F3
G,3,495,,Unknown,3,G3
H,3,496,,Unknown,3,H3
A,4,497,,Unknown,1,A4
B,4,498,,Unknown,1,B4
C,4,499,,Unknown,1,C4
D,4,500,,Unknown,1,D4
E,4,501,,Unknown,1,E4
F,4,547,,Unknown,1,F4
G,4,548,,Unknown,1,G4
H,4,549,,Unknown,1,H4
A,5,497,,Unknown,2,A5
B,5,498,,Unknown,2,B5
C,5,499,,Unknown,2,C5
D,5,500,,Unknown,2,D5
E,5,501,,Unknown,2,E5
F,5,547,,Unknown,2,F5
G,5,548,,Unknown,2,G5
H,5,549,,Unknown,2,H5
A,6,497,,Unknown,3,A6
B,6,498,,Unknown,3,B6
C,6,499,,Unknown,3,C6
D,6,500,,Unknown,3,D6
E,6,501,,Unknown,3,E6
F,6,547,,Unknown,3,F6
G,6,548,,Unknown,3,G6
H,6,549,,Unknown,3,H6
A,7,566,,Unknown,1,A7
B,7,567,,Unknown,1,B7
C,7,568,,Unknown,1,C7
D,7,569,,Unknown,1,D7
E,7,570,,Unknown,1,E7
F,7,571,,Unknown,1,F7
G,7,573,,Unknown,1,G7
H,7,574,,Unknown,1,H7
A,8,566,,Unknown,2,A8
B,8,567,,Unknown,2,B8
C,8,568,,Unknown,2,C8
D,8,569,,Unknown,2,D8
E,8,570,,Unknown,2,E8
F,8,571,,Unknown,2,F8
G,8,573,,Unknown,2,G8
H,8,574,,Unknown,2,H8
A,9,566,,Unknown,3,A9
B,9,567,,Unknown,3,B9
C,9,568,,Unknown,3,C9
D,9,569,,Unknown,3,D9
E,9,570,,Unknown,3,E9
F,9,571,,Unknown,3,F9
G,9,573,,Unknown,3,G9
H,9,574,,Unknown,3,H9
A,10,575,,Unknown,1,A10
B,10,576,,Unknown,1,B10
C,10,577,,Unknown,1,C10
D,10,578,,Unknown,1,D10
E,10,579,,Unknown,1,E10
F,10,control_neg,,Unknown,1,F10
G,10,control_pos,,Unknown,1,G10
H,10,,,,1,H10
A,11,575,,Unknown,2,A11
B,11,576,,Unknown,2,B11
C,11,577,,Unknown,2,C11
D,11,578,,Unknown,2,D11
E,11,579,,Unknown,2,E11
F,11,control_neg,,Unknown,2,F11
G,11,control_pos,,Unknown,2,G11
H,11,,,,2,H11
A,12,575,,Unknown,3,A12
B,12,576,,Unknown,3,B12
C,12,577,,Unknown,3,C12
D,12,578,,Unknown,3,D12
E,12,579,,Unknown,3,E12
F,12,control_neg,,Unknown,3,F12
G,12,control_pos,,Unknown,3,G12
H,12,,,,3,H12
