plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,001,,Unknown,1,A1
B,1,002,,Unknown,1,B1
C,1,003,,Unknown,1,C1
D,1,004,,Unknown,1,D1
E,1,007,,Unknown,1,E1
F,1,008,,Unknown,1,F1
G,1,009,,Unknown,1,G1
H,1,010,,Unknown,1,H1
A,2,001,,Unknown,2,A2
B,2,002,,Unknown,2,B2
C,2,003,,Unknown,2,C2
D,2,004,,Unknown,2,D2
E,2,007,,Unknown,2,E2
F,2,008,,Unknown,2,F2
G,2,009,,Unknown,2,G2
H,2,010,,Unknown,2,H2
A,3,001,,Unknown,3,A3
B,3,002,,Unknown,3,B3
C,3,003,,Unknown,3,C3
D,3,004,,Unknown,3,D3
E,3,007,,Unknown,3,E3
F,3,008,,Unknown,3,F3
G,3,009,,Unknown,3,G3
H,3,010,,Unknown,3,H3
A,4,025,,Unknown,1,A4
B,4,026,,Unknown,1,B4
C,4,027,,Unknown,1,C4
D,4,028,,Unknown,1,D4
E,4,091,,Unknown,1,E4
F,4,096,,Unknown,1,F4
G,4,097,,Unknown,1,G4
H,4,098,,Unknown,1,H4
A,5,025,,Unknown,2,A5
B,5,026,,Unknown,2,B5
C,5,027,,Unknown,2,C5
D,5,028,,Unknown,2,D5
E,5,091,,Unknown,2,E5
F,5,096,,Unknown,2,F5
G,5,097,,Unknown,2,G5
H,5,098,,Unknown,2,H5
A,6,025,,Unknown,3,A6
B,6,026,,Unknown,3,B6
C,6,027,,Unknown,3,C6
D,6,028,,Unknown,3,D6
E,6,091,,Unknown,3,E6
F,6,096,,Unknown,3,F6
G,6,097,,Unknown,3,G6
H,6,098,,Unknown,3,H6
A,7,099,,Unknown,1,A7
B,7,113,,Unknown,1,B7
C,7,114,,Unknown,1,C7
D,7,115,,Unknown,1,D7
E,7,118,,Unknown,1,E7
F,7,580,,Unknown,1,F7
G,7,585,,Unknown,1,G7
H,7,586,,Unknown,1,H7
A,8,099,,Unknown,2,A8
B,8,113,,Unknown,2,B8
C,8,114,,Unknown,2,C8
D,8,115,,Unknown,2,D8
E,8,118,,Unknown,2,E8
F,8,580,,Unknown,2,F8
G,8,585,,Unknown,2,G8
H,8,586,,Unknown,2,H8
A,9,099,,Unknown,3,A9
B,9,113,,Unknown,3,B9
C,9,114,,Unknown,3,C9
D,9,115,,Unknown,3,D9
E,9,118,,Unknown,3,E9
F,9,580,,Unknown,3,F9
G,9,585,,Unknown,3,G9
H,9,586,,Unknown,3,H9
A,10,587,,Unknown,1,A10
B,10,588,,Unknown,1,B10
C,10,589,,Unknown,1,C10
D,10,590,,Unknown,1,D10
E,10,595,,Unknown,1,E10
F,10,598,,Unknown,1,F10
G,10,control_neg,,Unknown,1,G10
H,10,control_pos,,Unknown,1,H10
A,11,587,,Unknown,2,A11
B,11,588,,Unknown,2,B11
C,11,589,,Unknown,2,C11
D,11,590,,Unknown,2,D11
E,11,595,,Unknown,2,E11
F,11,598,,Unknown,2,F11
G,11,control_neg,,Unknown,2,G11
H,11,control_pos,,Unknown,2,H11
A,12,587,,Unknown,3,A12
B,12,588,,Unknown,3,B12
C,12,589,,Unknown,3,C12
D,12,590,,Unknown,3,D12
E,12,595,,Unknown,3,E12
F,12,598,,Unknown,3,F12
G,12,control_neg,,Unknown,3,G12
H,12,control_pos,,Unknown,3,H12
