site_name,datetime,event_id,field_rep,field_notes,filter_box,lab_label,filter_notes,preservative_ml
Goat Island,2017-02-22T17:04:00Z,GOATIS-170222,1,after set1,,252,,1
Goat Island,2017-02-22T17:05:00Z,GOATIS-170222,2,after set1,,253,,1
Goat Island,2017-02-22T17:14:00Z,GOATIS-170222,3,after set1,,254,,1
Goat Island,2017-02-22T17:18:00Z,GOATIS-170222,4,after set2,,255,,1
Goat Island,2017-02-22T17:19:00Z,GOATIS-170222,5,after set2,,256,,1
Goat Island,2017-03-20T20:46:00Z,GOATIS-170320,1,collected between set1 and set2,170320,341,,1
Goat Island,2017-03-20T20:46:00Z,GOATIS-170320,2,collected between set1 and set2,170320,342,,1
Goat Island,2017-03-20T20:47:00Z,GOATIS-170320,3,collected between set1 and set2,170320,343,,1
Goat Island,2017-03-20T20:48:00Z,GOATIS-170320,4,collected between set1 and set2,170320,344,,1
Goat Island,2017-03-20T20:48:00Z,GOATIS-170320,5,collected between set1 and set2,170320,345,,1
Goat Island,2017-05-17T15:07:00Z,GOATIS-170517,1,,170516,482,,1
Goat Island,2017-05-17T15:07:30Z,GOATIS-170517,2,,170516,483,,1
Goat Island,2017-05-17T15:08:00Z,GOATIS-170517,3,,170516,484,,1
Goat Island,2017-05-17T15:08:30Z,GOATIS-170517,4,,170516,485,,1
Goat Island,2017-05-17T15:09:00Z,GOATIS-170517,5,,170516,486,,1
Goat Island,2017-06-21T20:11:00Z,GOATIS-170621,1,,170619,577,,1
Goat Island,2017-06-21T20:12:00Z,GOATIS-170621,2,,170619,578,,1
Goat Island,2017-06-21T20:13:00Z,GOATIS-170621,3,,170619,579,,1
Goat Island,2017-06-21T20:13:00Z,GOATIS-170621,4,,170619,580,,1
Hoypus,2017-02-21T18:13:00Z,HOYPTE-170221,1,after set1,,232,tube cap fell on ground,1
Hoypus,2017-02-21T18:14:00Z,HOYPTE-170221,2,after set1,,233,,1
Hoypus,2017-02-21T18:20:00Z,HOYPTE-170221,3,after set1,,234,,1
Hoypus,2017-02-21T18:23:00Z,HOYPTE-170221,4,after set2,,235,,1
Hoypus,2017-02-21T18:25:00Z,HOYPTE-170221,5,after set2,,236,,1
Hoypus,2017-03-21T19:05:00Z,HOYPTE-170321,1,,170320,361,,1
Hoypus,2017-03-21T19:06:00Z,HOYPTE-170321,2,,170320,362,,1
Hoypus,2017-03-21T19:06:00Z,HOYPTE-170321,3,,170320,363,,1
Hoypus,2017-03-21T19:07:00Z,HOYPTE-170321,4,,170320,364,,1
Hoypus,2017-03-21T19:07:00Z,HOYPTE-170321,5,,170320,365,,1
Hoypus,2017-04-17T18:54:00Z,HOYPTE-170417,1,bottle might not have filled completely,170413,430,,1
Hoypus,2017-04-17T18:54:30Z,HOYPTE-170417,2,bottle might not have filled completely,170413,431,,1
Hoypus,2017-04-17T18:55:00Z,HOYPTE-170417,3,bottle might not have filled completely,170413,433,,1
Hoypus,2017-04-17T18:56:00Z,HOYPTE-170417,4,bottle might not have filled completely,170413,434,,1
Hoypus,2017-04-17T18:56:30Z,HOYPTE-170417,5,bottle might not have filled completely,170413,432,,1
Hoypus,2017-05-17T19:24:00Z,HOYPTE-170517,1,lots of smelt,170516,492,,1
Hoypus,2017-05-17T19:24:30Z,HOYPTE-170517,2,lots of smelt,170516,493,,1
Hoypus,2017-05-17T19:25:00Z,HOYPTE-170517,3,lots of smelt,170516,494,,1
Hoypus,2017-05-17T19:26:00Z,HOYPTE-170517,4,lots of smelt,170516,495,,1
