"","date","Brown Point","Dugualla Bluff","Goat Island","Hoypus","Ika Lower","Ika Upper","Lone Tree Point","Mariners Bluff","Strawberry Point North","Turners Spit N"
"1","2016-05-31",4,NA,NA,NA,NA,NA,NA,3,4,NA
"2","2016-06-08",NA,NA,NA,NA,1,1,NA,NA,NA,NA
"3","2016-06-13",NA,4,NA,1,NA,NA,NA,NA,NA,NA
"4","2016-06-15",NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"5","2017-02-21",NA,NA,NA,3,NA,NA,5,NA,NA,3
"6","2017-02-22",NA,NA,3,NA,NA,NA,NA,NA,2,NA
"7","2017-03-20",NA,NA,3,NA,NA,NA,NA,NA,3,NA
"8","2017-03-21",NA,NA,NA,3,NA,NA,3,NA,NA,5
"9","2017-04-17",NA,NA,NA,5,NA,NA,4,NA,NA,4
"10","2017-04-18",NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"11","2017-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"12","2017-05-17",NA,NA,4,5,NA,NA,5,NA,5,NA
"13","2017-06-19",NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"14","2017-06-21",NA,NA,4,4,NA,NA,4,NA,NA,4
